"Name","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Dusty Miller","608","2644","21","420","402","198","6.1 %","5.7 %",".120",".340",".308",".359",".429",".371","105","19.1","40.3","-25.4","10.2","1008887"
"Johnny Bates","418","1628","10","226","156","68","15.0 %","7.5 %",".114",".305",".282",".401",".396",".388","128","0.1","55.2","-12.6","10.1","1000662"
"Austin Kearns","452","1835","71","248","263","20","11.2 %","22.5 %",".200",".317",".267",".358",".468",".358","114","4.3","36.4","3.6","10.0","332"
"Ron Oester","1276","4666","42","458","344","40","7.9 %","14.6 %",".091",".306",".265",".323",".356",".301","84","-3.1","-88.6","31.4","9.9","1009739"
"Dummy Hoy","554","2560","16","462","244","175","11.7 %","2.4 %",".109",".294",".292",".390",".400",".381","106","10.2","32.0","-23.3","9.6","1006111"
"Ray Mueller","527","1899","33","165","221","7","8.5 %","8.8 %",".118",".279",".266",".334",".384",".341","104","0.5","7.6","24.2","9.6","1009283"
"Ryan Freel","544","2147","22","294","114","140","9.8 %","15.0 %",".105",".318",".272",".357",".377",".330","94","13.6","-1.8","28.4","9.6","1207"
"Chuck Dressen","630","2488","11","310","218","30","8.8 %","4.6 %",".097",".285",".273",".345",".370",".336","92","3.9","-24.2","38.5","9.4","1003492"
"Jason LaRue","715","2544","84","263","303","12","7.7 %","25.4 %",".176",".296",".239",".325",".415",".320","88","-9.0","-48.9","60.1","9.4","337"
"Chick Hafey","471","1836","37","235","215","14","7.7 %","9.5 %",".151",".319",".301",".359",".452",".370","123","2.2","55.1","-18.3","9.3","1005191"
"Ivey Wingo","1010","3385","17","271","347","46","6.0 %","5.2 %",".092",".269",".257",".305",".350",".312","89","-3.2","-50.5","24.1","9.3","1014133"
"Eric Tipton","451","1754","21","198","137","18","11.9 %","6.8 %",".113",".285",".273",".364",".386",".360","118","2.6","37.6","-6.4","9.0","1013080"
"Sam Bohne","602","2409","15","302","217","71","7.3 %","5.8 %",".100",".278",".265",".324",".365",".322","84","-6.0","-55.6","61.7","8.9","1001130"
"Johnny Edwards","751","2663","53","235","296","6","9.0 %","13.9 %",".124",".269",".246",".314",".370",".300","84","-3.7","-53.0","44.6","8.7","1003689"
"Greasy Neale","746","2917","8","312","199","136","6.4 %","9.3 %",".075",".287",".260",".318",".334",".315","96","12.5","-2.8","-10.7","8.5","1009474"
"Drew Stubbs","486","2004","59","285","178","110","8.7 %","29.3 %",".145",".323",".241",".312",".386",".309","89","27.2","0.5","17.5","8.3","9328"
"Tommy Harper","648","2635","44","376","177","124","10.0 %","15.1 %",".107",".290",".255",".333",".362",".315","95","15.4","0.8","-10.0","8.3","1005383"
"Tommy Corcoran","1228","5157","13","594","613","186","3.6 %","",".075","",".249",".278",".323",".287","68","8.1","-201.1","98.8","8.3","1002622"
"Jim Keenan","428","1698","18","207","208","41","9.4 %","12.7 %",".104",".241",".235",".314",".339",".315","94","-9.4","-24.2","42.4","8.0","1006749"
"Ryan Hanigan","474","1580","20","128","138","0","12.0 %","10.1 %",".081",".283",".262",".359",".343",".312","90","-3.8","-22.7","50.6","8.0","4952"
"Elmer Smith","369","1564","5","217","159","43","11.6 %","19.6 %",".095",".333",".297",".383",".392",".375","118","-6.7","32.6","-10.1","7.8","1012134"
"Dmitri Young","565","2178","67","280","296","13","6.9 %","14.8 %",".184",".332",".304",".353",".488",".360","111","-3.1","28.1","-20.9","7.5","505"
"Babe Pinelli","648","2544","4","287","270","62","5.9 %","5.4 %",".071",".301",".284",".333",".355",".324","84","-14.2","-65.9","54.4","7.5","1010355"
"Deron Johnson","549","2142","90","269","343","5","7.0 %","18.0 %",".203",".284",".264",".316",".467",".343","112","-2.2","28.5","-33.4","7.4","1006444"
"Gordy Coleman","767","2587","98","277","385","9","6.8 %","12.8 %",".176",".278",".271",".322",".447",".337","106","-0.8","17.4","-33.2","7.3","1002422"
"Joe Oliver","769","2648","72","210","342","6","6.7 %","16.5 %",".141",".271",".246",".298",".387",".299","80","-1.9","-64.8","49.7","7.3","1009778"
"Dick Egan","642","2641","3","301","234","154","8.4 %","6.3 %",".050",".270",".255",".322",".304",".310","85","11.5","-39.5","15.9","7.1","1003698"
"Joe Kelley","487","2042","6","270","210","53","9.1 %","",".095","",".277",".353",".372",".351","110","-4.1","20.6","-26.0","6.9","1006776"
"Ray Knight","595","1883","32","194","210","8","6.4 %","10.7 %",".133",".295",".277",".325",".410",".327","102","-2.5","3.4","1.1","6.8","1007043"
"Eddie Joost","443","1781","11","180","120","23","9.9 %","9.9 %",".081",".257",".233",".315",".314",".303","82","3.8","-34.8","44.7","6.5","1006604"
"Eugenio Suarez","412","1657","60","207","200","19","9.2 %","23.9 %",".177",".315",".260",".336",".438",".334","106","-3.1","9.2","2.6","6.5","12552"
"Dode Paskert","409","1558","4","170","127","101","8.8 %","9.8 %",".064",".314",".263",".335",".327",".327","102","8.4","10.7","-6.1","6.4","1010042"
"Dave Parker","631","2696","107","327","432","24","7.2 %","14.8 %",".188",".296",".281",".334",".469",".345","112","-8.5","27.6","-56.9","6.3","1010000"
"Dave Collins","697","1981","9","272","126","147","8.5 %","11.7 %",".073",".321",".284",".349",".357",".324","101","9.8","12.1","-16.2","6.3","1002449"
"Larry McLean","655","2289","6","156","252","13","5.1 %","4.8 %",".064",".291",".266",".307",".330",".311","89","-12.8","-43.8","24.9","6.2","1008622"
"Hugh Nicol","432","1926","4","344","146","345","11.7 %","6.4 %",".048",".259",".234",".330",".281",".306","88","40.0","3.4","-15.3","6.2","1009574"
"Lew Riggs","610","2288","20","251","213","21","6.6 %","5.2 %",".110",".266",".258",".313",".368",".315","85","3.3","-38.6","25.9","6.1","1010957"
"Johnny Wyrostek","573","2393","37","262","269","18","9.8 %","9.4 %",".126",".297",".278",".353",".404",".353","102","2.6","10.0","-29.7","5.9","1014314"
"Eddie Kasko","580","2198","17","258","160","18","6.7 %","8.4 %",".076",".296",".277",".329",".353",".308","84","-3.3","-45.8","29.0","5.9","1006711"
"Bo Diaz","460","1695","39","143","196","2","5.1 %","11.3 %",".120",".266",".254",".294",".375",".295","78","-2.0","-43.4","46.3","5.8","1003261"
"Nick Esasky","647","2392","92","255","319","17","10.2 %","24.3 %",".191",".291",".245",".324",".436",".335","107","-2.0","16.6","-39.5","5.7","1003818"
"Tommy Griffith","548","2161","9","201","239","37","6.2 %","5.7 %",".092",".294",".278",".326",".371",".337","112","-8.1","18.2","-38.3","5.7","1005053"
"Fred Odwell","411","1579","10","198","168","72","5.6 %","",".093","",".258",".313",".352",".323","97","4.5","-1.8","1.0","5.5","1009735"
"Eddie Taubensee","694","2324","77","281","330","8","8.1 %","17.8 %",".174",".321",".286",".343",".460",".347","104","-2.5","10.5","-25.6","5.5","1012845"
"Larry Kopf","527","2157","3","226","173","53","6.3 %","5.9 %",".059",".266",".250",".305",".309",".297","83","-3.9","-46.4","26.4","5.5","1007105"
"Felipe Lopez","371","1566","41","215","159","47","10.0 %","20.2 %",".156",".315",".265",".340",".421",".333","97","10.8","4.7","-2.4","5.4","1311"
"Buddy Bell","386","1599","43","194","184","6","11.6 %","7.4 %",".148",".263",".266",".352",".414",".340","107","-3.3","11.3","-11.8","5.3","1000799"
"Ike Caveney","466","1751","13","173","196","15","5.5 %","7.2 %",".094",".276",".260",".307",".354",".309","75","1.0","-58.1","49.4","5.2","1002094"
"Jerry Lynch","640","1727","70","220","282","8","7.0 %","12.4 %",".204",".296",".289",".339",".493",".362","116","-1.4","33.4","-44.1","4.9","1007865"
"Willie Greene","445","1543","63","190","224","12","12.4 %","22.2 %",".196",".288",".250",".343",".446",".345","107","-0.2","12.4","-12.2","4.8","1005015"
"George Burns","403","1818","6","246","131","45","11.4 %","5.8 %",".085",".291",".275",".360",".359",".343","96","-5.0","-14.7","-1.3","4.7","1001708"
"Charlie Irwin","641","2635","6","369","317","124","6.0 %","3.3 %",".072",".306",".265",".320",".337",".318","79","5.4","-74.7","24.7","4.7","1006278"
"Pokey Reese","604","2275","36","279","180","120","7.0 %","15.8 %",".113",".285",".250",".308",".363",".296","69","13.9","-78.9","52.2","4.7","1004"
"Edwin Encarnacion","514","2008","71","236","263","19","9.2 %","18.1 %",".187",".292",".262",".345",".449",".346","104","3.7","14.4","-33.4","4.6","2151"
"Hod Ford","685","2504","5","230","215","12","6.9 %","5.7 %",".060",".272",".256",".311",".316",".296","66","1.4","-118.4","77.1","4.3","1004221"
"Bert Haas","530","2118","16","213","215","43","7.4 %","7.0 %",".093",".277",".262",".319",".354",".320","91","7.8","-13.2","-9.2","4.3","1005168"
"Tommy Helms","851","3382","18","271","274","23","3.8 %","6.1 %",".070",".281",".269",".297",".339",".284","75","-6.0","-104.5","29.8","4.2","1005616"
"Bret Boone","684","2712","70","294","346","22","7.0 %","17.1 %",".152",".291",".260",".316",".412",".319","89","-2.8","-40.4","-4.1","4.2","1067"
"Farmer Vaughn","654","2613","15","359","414","61","4.3 %","2.9 %",".100",".291",".284",".319",".384",".330","83","-7.5","-79.1","18.2","4.1","1013381"
"Harry Craft","566","2245","44","237","267","14","4.9 %","9.0 %",".127",".263",".253",".294",".380",".309","83","2.0","-42.5","15.6","4.0","1002718"
"Admiral Schlei","488","1716","6","160","171","30","6.9 %","",".062","",".239",".301",".301",".297","84","-5.1","-36.2","14.0","3.8","1011566"
"George Kelly","375","1523","18","164","217","11","5.2 %","9.1 %",".144",".312",".289",".329",".433",".345","94","1.7","-13.0","-0.1","3.7","1006799"
"Ray Lamanno","442","1548","18","122","150","2","7.6 %","9.8 %",".086",".272",".252",".314",".338",".312","83","-0.2","-33.4","13.3","3.0","1007270"
"Ethan Allen","422","1549","12","191","153","40","4.3 %","5.0 %",".115",".306",".295",".327",".409",".336","90","7.3","-14.9","-6.9","2.9","1000139"
"Alex Kampouris","456","1617","31","170","189","15","8.0 %","14.0 %",".123",".270",".244",".310",".366",".314","85","2.3","-29.8","3.0","2.6","1006685"
"Dain Clay","433","1699","3","203","98","39","6.8 %","7.7 %",".055",".280",".258",".314",".312",".302","79","6.9","-33.7","7.7","2.6","1002326"
"Tony Mullane","461","1732","5","256","166","104","8.5 %","9.7 %",".077",".264",".233",".310",".310",".304","87","2.4","-31.0","-6.1","2.6","1009291"
"Steve Mesner","408","1613","2","136","151","11","6.9 %","3.6 %",".055",".266",".257",".311",".311",".301","80","1.4","-36.9","12.1","2.5","1008798"
"Cesar Cedeno","429","1575","30","175","173","57","7.5 %","11.6 %",".129",".283",".265",".323",".393",".320","97","0.2","-4.6","-26.8","2.2","1002100"
"Jim Bottomley","394","1624","25","173","210","7","5.7 %","5.7 %",".128",".269",".265",".311",".392",".323","93","0.9","-14.4","-21.5","1.7","1001228"
"Gee Walker","460","1750","15","172","187","32","4.7 %","9.6 %",".084",".274",".252",".293",".336",".300","81","5.6","-32.8","-2.9","1.6","1013519"
"Virgil Stallcup","557","2098","22","167","213","9","2.4 %","8.4 %",".094",".258",".243",".262",".337",".275","53","0.0","-122.5","23.6","-3.0","1012393"
