"Name","Pos","Inn","rSB","rGDP","rARM","rGFP","rPM","DRS","BIZ","Plays","RZR","OOZ","CPP","RPP","TZL","FSR","ARM","DPR","RngR","ErrR","UZR","UZR/150","Def","playerid"
"Nick Masset","P","240.1","0","","","-1","-3","-4","","","","","","","","","","","","","","","","7267"
"Paul Janish","P","2.0","0","","","0","0","0","","","","","","","","","","","","","","","","7412"
"Justin Freeman","P","1.0","0","","","0","0","0","","","","","","","","","","","","","","","","7568"
"Chad Reineke","P","6.2","0","","","0","0","0","","","","","","","","","","","","","","","","7641"
"David Holmberg","P","58.1","0","","","0","-1","-2","","","","","","","","","","","","","","","","7725"
"Ross Ohlendorf","P","65.2","0","","","0","-2","-2","","","","","","","","","","","","","","","","8268"
"JC Ramirez","P","32.1","1","","","0","-2","-1","","","","","","","","","","","","","","","","8302"
"Jared Burton","P","169.0","0","","","0","0","1","","","","","","","","","","","","","","","","8346"
"Homer Bailey","P","1124.0","-3","","","2","-1","-2","","","","","","","","","","","","","","","","8362"
"John Lamb","P","119.2","0","","","0","-2","-2","","","","","","","","","","","","","","","","8493"
"Bill Bray","P","174.1","0","","","0","-1","0","","","","","","","","","","","","","","","","8538"
"Phil Dumatrait","P","18.0","0","","","0","-1","-1","","","","","","","","","","","","","","","","8598"
"Donovan Hand","P","3.0","0","","","0","0","0","","","","","","","","","","","","","","","","8728"
"J.J. Hoover","P","242.1","0","","","0","-5","-5","","","","","","","","","","","","","","","","9037"
"Tim Melville","P","9.0","0","","","0","0","0","","","","","","","","","","","","","","","","9149"
"Ryan Dennick","P","4.2","0","","","0","0","0","","","","","","","","","","","","","","","","9261"
"Daniel Corcino","P","18.2","0","","","0","1","1","","","","","","","","","","","","","","","","9266"
"Dylan Axelrod","P","30.2","0","","","0","1","1","","","","","","","","","","","","","","","","9303"
"Dan Straily","P","191.1","0","","","0","0","0","","","","","","","","","","","","","","","","9460"
"Jordan Smith","P","62.0","0","","","0","-2","-2","","","","","","","","","","","","","","","","9515"
"Burke Badenhop","P","66.1","0","","","0","2","2","","","","","","","","","","","","","","","","9736"
"Carlos Fisher","P","98.2","1","","","0","1","1","","","","","","","","","","","","","","","","9832"
"Travis Wood","P","208.2","1","","","0","2","4","","","","","","","","","","","","","","","","9884"
"Pedro Villarreal","P","71.1","0","","","0","-1","-1","","","","","","","","","","","","","","","","9904"
"A.J. Morris","P","10.0","0","","","0","0","0","","","","","","","","","","","","","","","","9919"
"Matt Maloney","P","80.0","1","","","0","0","1","","","","","","","","","","","","","","","","9920"
"Todd Redmond","P","3.1","0","","","0","0","0","","","","","","","","","","","","","","","","9943"
"Keyvius Sampson","P","91.2","0","","","0","2","2","","","","","","","","","","","","","","","","10039"
"Caleb Cotham","P","24.1","0","","","0","-1","-1","","","","","","","","","","","","","","","","10075"
"Mike Leake","P","1028.1","4","","","2","16","25","","","","","","","","","","","","","","","","10130"
"Aroldis Chapman","P","319.0","1","","","0","-3","-1","","","","","","","","","","","","","","","","10233"
"Nick Christiani","P","17.0","0","","","0","0","0","","","","","","","","","","","","","","","","10332"
"Scooter Gennett","P","1.0","0","","","0","0","0","","","","","","","","","","","","","","","","10339"
"Carlos Contreras","P","47.1","0","","","0","0","0","","","","","","","","","","","","","","","","10386"
"Drew Hayes","P","9.2","0","","","0","0","0","","","","","","","","","","","","","","","","10528"
"Asher Wojciechowski","P","62.1","0","","","0","0","0","","","","","","","","","","","","","","","","10836"
"Josh Smith","P","92.1","-2","","","0","-2","-4","","","","","","","","","","","","","","","","10946"
"Jake Buchanan","P","14.1","0","","","0","0","0","","","","","","","","","","","","","","","","10962"
"Tim Adleman","P","192.0","2","","","0","0","2","","","","","","","","","","","","","","","","10968"
"Kevin Shackelford","P","30.2","0","","","0","0","0","","","","","","","","","","","","","","","","11012"
"Lisalverto Bonilla","P","36.2","0","","","0","-1","-1","","","","","","","","","","","","","","","","11266"
"Tyler Holt","P","1.0","0","","","0","0","0","","","","","","","","","","","","","","","","11391"
"Dayan Diaz","P","6.2","0","","","0","0","0","","","","","","","","","","","","","","","","11543"
"Deck McGuire","P","13.2","0","","","0","0","0","","","","","","","","","","","","","","","","11596"
"Steve Delabar","P","8.0","0","","","0","0","0","","","","","","","","","","","","","","","","11827"
"Tony Cingrani","P","292.2","7","","","0","2","9","","","","","","","","","","","","","","","","12555"
"Abel De Los Santos","P","5.2","0","","","0","0","0","","","","","","","","","","","","","","","","12962"
"Anthony DeSclafani","P","308.0","0","","","-1","-4","-5","","","","","","","","","","","","","","","","13050"
"Alejandro Chacin","P","6.0","0","","","0","0","0","","","","","","","","","","","","","","","","13530"
"Robert Stephenson","P","121.2","1","","","0","-2","-2","","","","","","","","","","","","","","","","13594"
"Sal Romano","P","87.0","1","","","0","0","1","","","","","","","","","","","","","","","","13690"
"Jon Moscot","P","33.0","0","","","0","-1","-2","","","","","","","","","","","","","","","","13849"
"Wandy Peralta","P","72.0","0","","","0","1","1","","","","","","","","","","","","","","","","14295"
"Amir Garrett","P","70.2","1","","","0","2","3","","","","","","","","","","","","","","","","14375"
"Jackson Stephens","P","25.0","0","","","0","-1","-1","","","","","","","","","","","","","","","","14420"
"Barrett Astin","P","8.0","0","","","0","1","1","","","","","","","","","","","","","","","","14812"
"Michael Lorenzen","P","246.1","0","","","0","-1","0","","","","","","","","","","","","","","","","14843"
"Rookie Davis","P","24.0","-1","","","0","0","-1","","","","","","","","","","","","","","","","14962"
"Luke Farrell","P","10.1","0","","","0","0","0","","","","","","","","","","","","","","","","15101"
"Daniel Wright","P","13.0","0","","","0","-1","-1","","","","","","","","","","","","","","","","15179"
"Cody Reed","P","65.1","-1","","","0","1","-1","","","","","","","","","","","","","","","","15232"
"Layne Somsen","P","2.1","0","","","0","0","0","","","","","","","","","","","","","","","","15301"
"Ariel Hernandez","P","24.1","-1","","","0","0","-1","","","","","","","","","","","","","","","","15603"
"Luis Castillo","P","89.1","0","","","0","0","0","","","","","","","","","","","","","","","","15689"
"Keury Mella","P","4.0","0","","","0","0","0","","","","","","","","","","","","","","","","15964"
"Brandon Finnegan","P","208.2","0","","","0","1","0","","","","","","","","","","","","","","","","16208"
"Tyler Mahle","P","20.0","0","","","0","0","0","","","","","","","","","","","","","","","","16358"
"Raisel Iglesias","P","249.2","0","","","0","4","4","","","","","","","","","","","","","","","","17130"
"Austin Brice","P","32.2","0","","","0","0","0","","","","","","","","","","","","","","","","17237"
