"Name","Pos","Inn","rSB","rGDP","rARM","rGFP","rPM","DRS","BIZ","Plays","RZR","OOZ","CPP","RPP","TZL","FSR","ARM","DPR","RngR","ErrR","UZR","UZR/150","Def","playerid"
"Dave Sappelt","CF","20.0","","","0","0","0","0","6","5",".833","2","","","","0","0.0","","1.1","0.0","1.1","84.5","1.2","6898"
"Wilson Valdez","CF","35.0","","","0","0","0","0","4","4","1.000","2","","","","0","0.5","","0.5","0.0","1.1","68.5","1.2","1863"
"Chris Denorfia","LF","36.1","","","-1","0","1","0","7","5",".714","2","","","","","0.5","","0.8","0.0","1.3","47.8","1.1","4400"
"Ramon Santiago","2B","127.2","","0","","0","0","0","48","38",".792","5","","","","-1","","0.2","0.0","0.6","0.9","8.3","1.1","1417"
"Adam Duvall","1B","58.0","","0","","0","1","1","11","10",".909","2","","","","0","","-0.1","1.5","0.2","1.6","50.9","1.1","10950"
"D'Angelo Jimenez","SS","19.0","","0","","0","2","2","7","7","1.000","0","","","","","","0.2","0.5","0.2","0.9","70.8","1.0","1038"
"Ryan LaMarre","CF","57.0","","","0","0","0","0","14","13",".929","3","","","","","1.5","","-0.4","-0.2","0.9","15.5","1.0","10700"
"DeWayne Wise","LF","22.0","","","0","0","0","0","4","4","1.000","0","","","","","0.5","","0.6","0.0","1.1","82.3","1.0","1554"
"Donald Lutz","RF","18.0","","","0","0","0","0","9","8",".889","2","","","","0","-0.4","","1.4","0.1","1.0","10.5","0.9","10154"
"Wladimir Balentien","RF","110.0","","","1","0","0","1","25","22",".880","6","","","","0","0.7","","0.6","0.2","1.5","20.1","0.9","3131"
"Juan Encarnacion","CF","488.2","","","0","0","0","0","0","0","","0","","","","","-1.7","","2.3","-0.5","0.1","-0.2","0.9","320"
"Russell Branyan","LF","291.1","","","1","0","1","2","34","26",".765","2","","","","","-0.1","","2.3","0.3","2.4","10.3","0.9","370"
"Steve Selsky","LF","15.2","","","0","0","1","1","6","6","1.000","2","","","","","-0.1","","1.0","0.1","1.0","26.4","0.9","12957"
"Jerry Hairston","2B","121.0","","0","","1","0","1","35","28",".800","5","","","","0","","0.4","0.3","-0.1","0.7","5.9","0.9","144"
"Wladimir Balentien","LF","155.2","","","1","0","1","2","28","27",".964","12","","","","0","0.4","","1.8","-0.5","1.7","13.5","0.9","3131"
"Jack Hannahan","1B","103.2","","0","","0","1","1","12","11",".917","2","","","","0","","","1.7","0.0","1.7","28.7","0.8","3692"
"Tony Womack","2B","40.0","","0","","0","1","1","13","12",".923","1","","","","","","","0.5","0.2","0.7","27.8","0.8","78"
"Chris Valaika","SS","19.0","","0","","0","1","1","4","4","1.000","0","","","","","","-0.1","0.6","0.1","0.7","56.3","0.8","1165"
"Yorman Rodriguez","RF","25.0","","","0","0","1","1","4","4","1.000","2","","","","","0.5","","0.3","0.0","0.9","59.1","0.8","9922"
"Tony Renda","3B","8.0","","0","","0","0","0","3","3","1.000","0","","","","","","","0.7","0.1","0.8","115.3","0.8","13443"
"Willie Harris","3B","9.0","","0","","0","1","1","2","2","1.000","0","","","","","","0.1","0.6","0.0","0.7","101.1","0.7","236"
"Arismendy Alcantara","SS","21.1","","0","","1","1","2","9","8",".889","2","","","","","","0.0","0.4","0.2","0.6","31.4","0.7","10711"
"Darren Bragg","LF","9.1","","","0","0","1","1","1","1","1.000","0","","","","","","","0.8","0.0","0.8","0.0","0.7","83"
"Derrick Robinson","CF","86.2","","","-1","1","1","1","13","13","1.000","5","","","","0","-0.4","","0.9","0.1","0.6","13.2","0.7","2784"
"Jermaine Clark","RF","32.0","","","0","0","1","1","13","7",".539","2","","","","","0.8","","0.0","0.1","0.9","31.5","0.7","1664"
"Wilson Valdez","SS","243.1","","0","","0","-4","-4","47","36",".766","8","","","","-1","","0.1","-1.5","0.9","-0.6","-4.4","0.7","1863"
"Jordan Pacheco","2B","17.1","","0","","0","0","0","5","4",".800","2","","","","","","","0.5","0.1","0.6","47.3","0.7","2677"
"DeWayne Wise","CF","49.1","","","0","0","0","0","21","17",".810","3","","","","","1.5","","-0.7","-0.2","0.6","5.3","0.7","1554"
"Josh Hamilton","CF","555.2","","","1","1","-1","1","167","150",".898","18","","","","","1.3","","-1.4","-0.3","-0.4","0.1","0.6","1875"
"Buck Coats","RF","27.2","","","0","0","0","0","4","3",".750","1","","","","","0.4","","0.6","-0.3","0.7","62.8","0.6","2945"
"Andy Phillips","2B","19.0","","0","","0","2","2","4","4","1.000","2","","","","","","0.1","0.4","0.1","0.6","38.9","0.6","2075"
"Hernan Iribarren","CF","40.2","","","0","0","1","1","8","8","1.000","3","","","","","0.0","","0.5","0.0","0.5","24.5","0.6","4177"
"Jason LaRue","1B","9.0","","0","","0","1","1","2","2","1.000","0","","","","","","","0.6","0.1","0.6","96.8","0.6","337"
"Derrick Robinson","RF","3.0","","","0","0","0","0","0","0","","1","","","","0","","","0.5","0.0","0.5","0.0","0.5","2784"
"Adam Duvall","3B","13.1","","0","","0","1","1","2","2","1.000","0","","","","0","","","0.4","0.1","0.5","75.5","0.5","10950"
"Kristopher Negron","LF","35.2","","","0","0","0","0","5","5","1.000","5","","","","0","0.0","","0.7","0.1","0.7","18.3","0.5","5306"
"Tim Hummel","1B","50.2","","0","","0","1","1","9","8",".889","2","","","","","","0.2","0.5","0.2","0.9","21.6","0.5","238"
"Jason Romano","CF","52.2","","","0","0","-1","-1","14","12",".857","3","","","","","0.0","","0.6","-0.2","0.4","8.2","0.5","1278"
"Steve Selsky","RF","66.1","","","1","-1","-1","-1","13","13","1.000","4","","","","","0.9","","-0.2","0.1","0.8","15.4","0.5","12957"
"Adam Dunn","RF","109.1","","","0","0","0","0","4","3",".750","0","","","","","1.6","","-0.6","0.1","1.0","12.7","0.5","319"
"Kenny Kelly","CF","2.1","","","0","0","1","1","2","2","1.000","0","","","","","","","0.4","0.0","0.5","68.1","0.5","1084"
"Adam Rosales","2B","27.0","","0","","0","0","0","7","6",".857","0","","","","0","","0.3","0.0","0.1","0.4","19.8","0.4","9682"
"Kyle Waldrop","RF","8.0","","","0","0","0","0","2","1",".500","1","","","","","0.0","","0.5","0.0","0.5","71.8","0.4","11402"
"D'Angelo Jimenez","3B","4.0","","0","","0","1","1","2","2","1.000","0","","","","","","","0.4","0.1","0.4","64.2","0.4","1038"
"Mark Budzinski","CF","8.0","","","0","0","1","1","3","3","1.000","0","","","","","0.1","","0.3","0.0","0.4","56.2","0.4","1789"
"Wilton Guerrero","2B","55.1","","0","","0","0","0","0","0","","0","","","","","","-0.3","0.2","0.4","0.3","8.6","0.4","1378"
"Jacob Cruz","1B","36.0","","0","","0","-1","-1","3","2",".667","2","","","","","","0.2","0.3","0.1","0.7","25.7","0.4","463"
"Tony Renda","RF","28.2","","","0","0","0","0","6","6","1.000","2","","","","","-0.1","","0.6","0.1","0.6","16.4","0.4","13443"
"Todd Frazier","SS","3.0","","0","","0","0","0","1","1","1.000","0","","","","0","","","0.4","0.0","0.4","0.0","0.4","785"
"Ruben Mateo","LF","15.2","","","0","0","0","0","5","4",".800","0","","","","","0.4","","0.1","0.0","0.5","35.1","0.4","340"
"Jason LaRue","RF","3.0","","","0","0","1","1","2","2","1.000","0","","","","","-0.1","","0.5","0.0","0.4","-12.5","0.4","337"
"Todd Hollandsworth","LF","8.0","","","0","0","0","0","1","1","1.000","0","","","","","0.9","","-0.5","0.0","0.4","-25.4","0.4","433"
"Jeff Keppinger","RF","7.1","","","0","0","0","0","1","1","1.000","0","","","","","0.5","","-0.1","0.0","0.4","61.8","0.4","3856"
"Derrick Robinson","LF","305.2","","","-1","-1","6","4","54","51",".944","31","","","","1","-1.1","","2.4","0.6","1.9","1.3","0.4","2784"
"Luis Lopez","2B","16.0","","0","","0","0","0","5","4",".800","1","","","","","","","0.2","0.1","0.3","23.3","0.3","695"
"Ivan De Jesus","3B","151.0","","0","","1","-2","-2","38","26",".684","4","","","","-1","","-0.2","-0.4","0.7","0.1","0.1","0.3","9886"
"Brady Clark","RF","10.1","","","0","0","0","0","0","0","","0","","","","","","","0.4","0.0","0.4","57.5","0.3","1398"
"Aaron Holbert","1B","5.0","","0","","0","-1","-1","2","1",".500","0","","","","","","","0.3","0.0","0.4","55.7","0.3","1960"
"Josh Hamilton","RF","81.0","","","1","0","0","1","27","25",".926","2","","","","","0.6","","-0.1","0.2","0.7","9.2","0.3","1875"
"Tim Hummel","SS","12.0","","0","","0","-1","-1","1","0",".000","0","","","","","","","0.1","0.1","0.2","36.7","0.3","238"
"Didi Gregorius","SS","46.0","","0","","0","1","1","8","6",".750","2","","","","","","0.0","-0.3","0.3","0.1","2.1","0.3","6012"
"Ryan Jorgensen","C","34.0","0","","","0","","0","","","","","","","","","","","","","","","0.3","7056"
"Patrick Kivlehan","3B","47.2","","0","","0","3","3","9","8",".889","7","","","","","","","0.1","0.1","0.2","27.2","0.3","13910"
"Brennan Boesch","LF","46.2","","","0","0","0","0","12","11",".917","1","","","","0","0.3","","0.1","0.1","0.5","10.0","0.3","914"
"Willie Harris","LF","9.0","","","0","0","0","0","1","1","1.000","0","","","","","0.2","","0.1","0.0","0.3","43.0","0.2","236"
"Arismendy Alcantara","LF","5.0","","","0","0","0","0","1","1","1.000","0","","","","","","","0.3","0.0","0.3","39.0","0.2","10711"
"Wily Mo Pena","3B","5.0","","0","","0","0","0","1","1","1.000","0","","","","","","","0.1","0.1","0.2","32.5","0.2","344"
"Raul Gonzalez","CF","40.0","","","0","0","0","0","0","0","","0","","","","","0.0","","0.1","0.1","0.2","3.7","0.2","1553"
"Jim Edmonds","RF","3.0","","","0","0","0","0","1","1","1.000","0","","","","","0.0","","0.2","0.0","0.2","3.2","0.2","1153"
"Laynce Nix","CF","51.0","","","1","0","2","3","10","10","1.000","3","","","","0","-0.3","","0.7","-0.2","0.1","7.5","0.2","1766"
"Marlon Byrd","RF","25.0","","","0","0","1","1","8","8","1.000","3","","","","0","-0.2","","0.5","0.1","0.3","-2.3","0.2","950"
"Kristopher Negron","1B","18.0","","0","","0","0","0","4","4","1.000","0","","","","0","","","0.2","0.1","0.3","17.3","0.2","5306"
"Edgar Renteria","2B","7.0","","0","","0","0","0","5","5","1.000","0","","","","0","","","0.1","0.1","0.2","12.6","0.2","1178"
"Chad Wallach","C","21.0","0","","","0","","0","","","","","","","","","","","","","","","0.2","17161"
"William Bergolla","SS","1.0","","0","","0","0","0","0","0","","0","","","","","","","0.2","0.0","0.2","0.0","0.2","2152"
"Jason Bourgeois","LF","127.2","","","2","0","-1","1","18","17",".944","4","","","","0","0.9","","0.1","-0.1","0.8","11.5","0.2","2225"
"Tyler Holt","CF","246.2","","","1","1","-5","-3","72","64",".889","17","","","","-2","-1.3","","0.8","0.3","-0.3","0.1","0.2","11391"
"Todd Frazier","2B","8.0","","0","","0","0","0","1","1","1.000","0","","","","0","","0.1","0.1","0.0","0.2","3.5","0.2","785"
"Marlon Byrd","CF","30.0","","","0","0","-1","-1","7","7","1.000","2","","","","0","0.1","","-0.1","0.0","0.1","7.1","0.1","950"
"Neftali Soto","3B","12.0","","0","","0","0","0","2","1",".500","0","","","","","","","0.1","0.0","0.1","0.0","0.1","5663"
"Mark Bellhorn","2B","1.2","","0","","0","0","0","1","1","1.000","0","","","","","","0.0","0.1","0.0","0.1","0.9","0.1","264"
"Roger Bernadina","CF","44.2","","","0","0","0","0","10","10","1.000","0","","","","0","-0.1","","0.1","0.1","0.0","-4.0","0.1","6421"
"Chris Dominguez","RF","9.0","","","0","0","0","0","2","2","1.000","0","","","","","","","0.1","0.0","0.2","23.9","0.1","9718"
"Buck Coats","CF","17.0","","","0","0","0","0","4","4","1.000","0","","","","","-0.1","","0.1","0.0","0.1","11.3","0.1","2945"
"Dane Sardinha","C","12.0","0","","","0","","0","","","","","","","","","","","","","","","0.1","353"
"Darnell McDonald","RF","66.2","","","-1","0","0","-1","19","18",".947","6","","","","0","-1.1","","1.4","0.1","0.4","7.3","0.1","1867"
"Raffy Lopez","C","10.0","0","","","0","","0","","","","","","","","","","","","","","","0.1","12606"
"Zach Vincej","SS","15.0","","0","","0","0","0","3","3","1.000","1","","","","","","","","","","","0.1","13269"
"Juan Castro","1B","30.0","","0","","0","0","0","3","2",".667","0","","","","","","","0.2","0.1","0.3","22.5","0.0","315"
"Pedro Lopez","SS","93.1","","0","","0","-1","-1","17","16",".941","2","","","","","","0.1","-0.4","-0.1","-0.5","-9.8","0.0","3207"
"Hernan Iribarren","2B","15.0","","0","","0","0","0","0","0","","0","","","","","","","0.0","0.0","0.0","0.0","0.0","4177"
"Quinton McCracken","LF","14.0","","","0","0","0","0","3","3","1.000","0","","","","","0.0","","0.0","0.0","0.1","6.2","0.0","1377"
"Jeff Conine","RF","4.0","","","0","0","0","0","1","1","1.000","0","","","","","","","0.0","0.0","0.0","5.7","0.0","131"
"Miguel Perez","C","2.0","0","","","0","","0","","","","","","","","","","","","","","","0.0","3262"
"Yonder Alonso","3B","9.0","","0","","0","0","0","0","0","","0","","","","0","","","0.0","0.0","0.0","0.0","0.0","2530"
"Pedro Lopez","2B","9.0","","0","","0","0","0","0","0","","0","","","","","","","0.0","0.0","0.0","0.0","0.0","3207"
"Gookie Dawkins","2B","5.0","","0","","0","0","0","0","0","","0","","","","","","","","","","","0.0","316"
"Jorge Cantu","3B","4.0","","0","","0","0","0","0","0","","0","","","","","","","0.0","0.0","0.0","0.0","0.0","2521"
"Jake Elmore","2B","9.0","","0","","0","0","0","2","2","1.000","0","","","","","","-0.1","0.1","0.0","0.0","12.3","0.0","7290"
"Jose Guillen","CF","2.1","","","0","0","0","0","0","0","","0","","","","","","","0.0","0.0","0.0","0.0","0.0","57"
"Miguel Cairo","SS","1.0","","0","","0","0","0","0","0","","0","","","","0","","","","","","","0.0","1412"
"Willie Bloomquist","2B","3.0","","0","","0","0","0","0","0","","0","","","","","","","","","","","0.0","1066"
"Mark Bellhorn","3B","13.0","","0","","0","0","0","5","3",".600","1","","","","","","","-0.2","0.2","0.0","-1.3","0.0","264"
"Roger Bernadina","1B","7.0","","0","","0","0","0","0","0","","0","","","","0","","","0.0","0.0","0.1","9.4","0.0","6421"
"Jeff Conine","3B","1.0","","0","","0","0","0","0","0","","0","","","","","","","","","","","0.0","131"
"Ramon Hernandez","3B","1.0","","0","","0","0","0","0","0","","0","","","","0","","","","","","","0.0","918"
"Jim Chamblee","3B","1.0","","0","","0","0","0","0","0","","0","","","","","","","","","","","0.0","1146"
"Jermaine Clark","CF","1.0","","","0","0","0","0","0","0","","0","","","","","","","","","","","0.0","1664"
"Raffy Lopez","1B","0.2","","0","","0","0","0","0","0","","0","","","","","","","0.0","0.0","0.0","0.0","0.0","12606"
"Raul Gonzalez","LF","2.0","","","0","0","0","0","0","0","","0","","","","","0.0","","0.0","0.0","0.0","1.3","0.0","1553"
"Jason LaRue","LF","0.2","","","0","0","0","0","0","0","","0","","","","","","","","","","","0.0","337"
"Ray Olmedo","RF","1.0","","","0","0","0","0","0","0","","0","","","","","","","","","","","0.0","1718"
"Ryan LaMarre","RF","1.0","","","0","0","0","0","0","0","","0","","","","","","","","","","","0.0","10700"
"Yonder Alonso","1B","43.0","","0","","1","1","2","9","7",".778","4","","","","0","","0.0","1.2","-0.8","0.4","9.8","0.0","2530"
"Ramon Santiago","LF","1.1","","","0","0","0","0","0","0","","0","","","","0","","","","","","","0.0","1417"
"Jeff Keppinger","3B","147.0","","0","","0","0","0","47","34",".723","7","","","","","","-0.5","-0.9","1.1","-0.3","-0.6","0.0","3856"
"Dernell Stenson","1B","1.0","","0","","0","0","0","0","0","","0","","","","","","","","","","","0.0","215"
"Chad Wallach","1B","1.0","","0","","0","0","0","0","0","","0","","","","","","","","","","","0.0","17161"
"Zach Vincej","2B","3.0","","0","","0","0","0","1","1","1.000","0","","","","","","0.0","","","0.0","-0.6","0.0","13269"
"Juan Francisco","3B","291.1","","0","","-2","3","1","58","38",".655","14","","","","0","","0.4","-0.3","-0.6","-0.5","-2.7","0.0","6978"
"Chris Dominguez","LF","16.0","","","0","0","0","0","3","3","1.000","0","","","","","","","0.1","0.0","0.1","10.1","0.0","9718"
"Drew Sutton","RF","3.0","","","0","0","0","0","0","0","","0","","","","0","","","","","","","0.0","7430"
"Ryan LaMarre","LF","3.0","","","0","0","0","0","0","0","","0","","","","","","","0.0","0.0","0.0","0.0","0.0","10700"
"Jeremy Hermida","RF","5.0","","","0","0","0","0","0","0","","0","","","","","","","","","","","0.0","7208"
"Hernan Iribarren","1B","3.0","","0","","0","0","0","0","0","","0","","","","","","","","","","","0.0","4177"
"Todd Frazier","RF","7.0","","","0","0","0","0","0","0","","0","","","","0","","","","","","","0.0","785"
"Willie Bloomquist","LF","8.0","","","0","0","0","0","0","0","","0","","","","","","","","","","","0.0","1066"
"Kyle Waldrop","LF","9.1","","","0","0","0","0","2","2","1.000","0","","","","","","","0.0","0.0","0.0","1.0","0.0","11402"
"Miguel Cairo","RF","7.0","","","0","0","0","0","1","1","1.000","0","","","","0","","","0.0","0.0","0.0","-1.3","0.0","1412"
"Jeff Keppinger","LF","11.0","","","0","0","0","0","6","4",".667","1","","","","","-0.1","","0.0","0.0","0.0","2.9","0.0","3856"
"Jim Edmonds","LF","9.0","","","0","0","0","0","0","0","","0","","","","","","","","","","","0.0","1153"
"Tim Hummel","2B","7.0","","0","","0","0","0","2","2","1.000","0","","","","","","","-0.1","0.0","-0.1","-9.1","0.0","238"
"Neftali Soto","1B","42.0","","0","","0","1","1","5","4",".800","0","","","","","","","0.2","0.1","0.3","15.5","0.0","5663"
"Javier Valentin","3B","9.2","","0","","0","-1","-1","0","0","","0","","","","","","","-0.1","0.0","-0.1","0.0","-0.1","759"
"Quinton McCracken","RF","10.0","","","0","0","0","0","2","2","1.000","1","","","","","0.0","","0.0","0.0","0.0","-1.5","-0.1","1377"
"Arismendy Alcantara","3B","9.1","","0","","0","0","0","3","2",".667","0","","","","","","","-0.1","0.1","-0.1","-12.1","-0.1","10711"
"Jordan Pacheco","1B","12.0","","0","","0","0","0","0","0","","0","","","","","","","0.0","0.0","0.0","0.0","-0.1","2677"
"Jesse Winker","LF","17.0","","","0","0","0","0","1","1","1.000","0","","","","","0.0","","","","0.0","-0.6","-0.1","13590"
"Jacob Cruz","LF","60.2","","","1","0","-1","0","13","6",".462","0","","","","","0.8","","-0.6","0.1","0.2","-2.4","-0.1","463"
"Danny Richar","SS","8.0","","0","","0","0","0","1","1","1.000","0","","","","","","-0.1","-0.1","0.0","-0.2","-10.3","-0.1","3767"
"Andy Phillips","3B","49.0","","0","","0","-2","-2","11","7",".636","3","","","","","","0.2","-0.1","-0.3","-0.2","-6.4","-0.1","2075"
"Jerry Hairston","RF","61.0","","","-2","-1","-1","-4","19","17",".895","6","","","","0","-0.6","","0.6","0.2","0.2","0.5","-0.1","144"
"Brady Clark","CF","22.0","","","0","0","0","0","0","0","","0","","","","","-0.2","","0.0","0.0","-0.2","-2.7","-0.1","1398"
"Wilkin Castillo","LF","38.0","","","0","0","1","1","5","5","1.000","1","","","","","-0.2","","0.2","0.0","0.1","2.6","-0.1","5124"
"Jim Edmonds","1B","18.0","","0","","0","0","0","0","0","","0","","","","","","","","","","","-0.2","1153"
"Royce Clayton","SS","334.2","","-1","","0","-1","-2","95","73",".768","17","","","","","","0.1","-0.1","-1.9","-1.9","-7.8","-0.2","226"
"Patrick Kivlehan","LF","58.2","","","0","0","0","0","6","5",".833","4","","","","","-0.4","","0.4","0.1","0.1","-1.5","-0.2","13910"
"Edwin Encarnacion","1B","9.0","","0","","0","0","0","2","1",".500","0","","","","","","","-0.2","0.0","-0.1","-19.2","-0.2","2151"
"Todd Walker","2B","1319.1","","0","","0","0","0","0","0","","0","","","","","","-1.0","-6.5","5.1","-2.5","-2.3","-0.2","359"
"Jason Romano","RF","21.1","","","2","0","-1","1","8","1",".125","0","","","","","1.5","","-1.6","0.0","-0.1","-184.8","-0.2","1278"
"Yorman Rodriguez","LF","18.0","","","0","0","0","0","1","1","1.000","1","","","","","-0.1","","-0.1","0.0","-0.1","-21.0","-0.2","9922"
"Wilkin Castillo","2B","16.0","","0","","0","-1","-1","1","1","1.000","0","","","","","","0.0","-0.3","0.0","-0.3","-40.4","-0.2","5124"
"Jeff Keppinger","1B","20.2","","0","","0","0","0","2","1",".500","1","","","","","","","-0.2","0.1","-0.1","-4.3","-0.2","3856"
"Chris Dominguez","1B","10.0","","0","","0","0","0","1","0",".000","0","","","","","","","-0.2","0.0","-0.1","0.0","-0.2","9718"
"Drew Sutton","3B","6.1","","0","","0","-1","-1","1","1","1.000","0","","","","0","","","-0.3","0.1","-0.3","-38.6","-0.2","7430"
"Russell Branyan","3B","253.0","","0","","0","3","3","38","33",".868","2","","","","","","0.2","-0.5","-0.5","-0.7","-2.4","-0.2","370"
"Phillip Ervin","LF","17.0","","","0","0","0","0","4","3",".750","2","","","","","","","-0.2","0.0","-0.2","0.0","-0.3","14738"
"Chad Moeller","C","86.2","-1","","","0","","-2","","","","","","","","","","","","","","","-0.3","66"
"Paul Janish","3B","119.1","","0","","0","0","0","27","18",".667","7","","","","2","","-0.2","-0.6","0.4","-0.5","-7.4","-0.3","7412"
"Cesar Izturis","3B","2.0","","0","","0","0","0","1","0",".000","1","","","","0","","","0.4","-0.7","-0.3","-43.4","-0.3","656"
"Denis Phipps","CF","9.0","","","0","0","-1","-1","4","3",".750","0","","","","","0.0","","-0.3","0.0","-0.3","-45.9","-0.3","6968"
"Jermaine Clark","2B","13.0","","0","","0","-1","-1","3","2",".667","0","","","","","","","-0.4","0.1","-0.3","-49.8","-0.3","1664"
"Rich Aurilia","SS","436.1","","-1","","-1","-5","-7","137","114",".832","16","","","","","","0.0","-3.5","1.0","-2.6","-7.5","-0.3","1106"
"Patrick Kivlehan","1B","30.1","","0","","0","0","0","3","2",".667","1","","","","","","0.0","-0.2","0.1","-0.1","-3.3","-0.3","13910"
"Reggie Taylor","LF","164.2","","","1","0","-1","0","11","8",".727","0","","","","","0.5","","0.5","-0.5","0.5","3.5","-0.4","358"
"Denis Phipps","RF","9.0","","","0","0","0","0","1","1","1.000","0","","","","","-0.2","","-0.1","0.0","-0.3","-32.3","-0.4","6968"
"Drew Sutton","2B","41.0","","0","","-1","-1","-2","12","10",".833","1","","","","0","","0.0","-0.6","0.2","-0.4","-15.9","-0.4","7430"
"Rich Aurilia","3B","485.1","","0","","0","-8","-8","133","95",".714","10","","","","","","0.2","-2.5","1.1","-1.2","-3.0","-0.4","1106"
"Brandon Larson","1B","4.0","","0","","0","0","0","0","0","","0","","","","","","","-0.4","0.0","-0.3","-49.6","-0.4","336"
"Mike Costanzo","1B","7.0","","0","","-1","0","-1","1","0",".000","0","","","","","","","-0.3","0.0","-0.3","0.0","-0.4","3533"
"Ruben Mateo","CF","116.1","","","-1","0","2","1","27","21",".778","4","","","","","-0.3","","-0.4","0.1","-0.6","-6.7","-0.4","340"
"Andy Phillips","1B","30.2","","0","","0","0","0","6","4",".667","1","","","","","","","0.0","-0.2","-0.1","-6.9","-0.4","2075"
"Jake Elmore","SS","17.0","","0","","0","-1","-1","3","2",".667","2","","","","","","","-0.6","0.1","-0.5","-73.5","-0.4","7290"
"Aaron Holbert","3B","10.0","","0","","0","0","0","4","1",".250","4","","","","","","","-0.6","0.2","-0.4","-31.5","-0.4","1960"
"John Vander Wal","1B","7.2","","0","","0","-1","-1","1","0",".000","0","","","","","","","-0.4","0.0","-0.3","0.0","-0.4","853"
"Jolbert Cabrera","2B","15.0","","0","","0","-1","-1","6","4",".667","0","","","","","","-0.1","-0.5","0.1","-0.4","-31.3","-0.4","373"
"Darnell McDonald","CF","29.0","","","0","0","-1","-1","7","7","1.000","3","","","","0","-0.3","","0.1","-0.3","-0.5","-14.4","-0.4","1867"
"Jeremy Hermida","LF","25.0","","","0","0","0","0","5","4",".800","1","","","","","0.2","","-0.5","0.0","-0.3","-11.4","-0.5","7208"
"Jorge Cantu","2B","8.0","","0","","0","-1","-1","3","3","1.000","0","","","","","","-0.1","-0.4","0.1","-0.5","-60.5","-0.5","2521"
"Skip Schumaker","2B","184.0","","0","","0","-3","-3","52","40",".769","9","","","","-3","","0.4","-0.4","-0.8","-0.8","-5.7","-0.5","3704"
"Kevin Barker","1B","25.0","","0","","0","0","0","2","2","1.000","1","","","","","","","-0.4","0.1","-0.3","-14.0","-0.5","1019"
"Scott Schebler","CF","250.2","","","0","0","-2","-2","58","53",".914","14","","","","-1","0.0","","-0.4","-0.5","-0.9","-5.2","-0.5","12225"
"Willie Harris","2B","44.0","","0","","0","-1","-1","17","13",".765","2","","","","","","","-0.2","-0.4","-0.6","-13.2","-0.5","236"
"Brandon Phillips","SS","17.0","","0","","0","-1","-1","6","3",".500","0","","","","0","","","-0.1","-0.6","-0.6","-47.4","-0.5","791"
"Dernell Stenson","RF","41.2","","","0","0","0","0","10","6",".600","0","","","","","-0.5","","0.1","0.0","-0.3","-1.4","-0.5","215"
"Brady Clark","LF","46.1","","","0","0","0","0","0","0","","0","","","","","-0.1","","-0.3","0.1","-0.3","-12.4","-0.6","1398"
"Hernan Iribarren","RF","16.0","","","0","0","-1","-1","2","2","1.000","0","","","","","-0.1","","-0.5","0.0","-0.5","-35.7","-0.6","4177"
"Scooter Gennett","LF","55.0","","","0","0","1","1","10","9",".900","4","","","","","-0.3","","0.0","0.1","-0.3","-7.1","-0.6","10339"
"Jeff Keppinger","2B","49.0","","0","","0","-1","-1","11","7",".636","2","","","","","","0.3","-1.2","0.2","-0.7","-27.3","-0.6","3856"
"Jolbert Cabrera","3B","9.1","","0","","0","0","0","3","1",".333","1","","","","","","","-0.7","0.1","-0.6","-45.7","-0.6","373"
"Cody Ross","LF","9.0","","","0","0","-1","-1","2","1",".500","0","","","","","-0.4","","-0.2","0.0","-0.6","-51.0","-0.6","1760"
"Enrique Cruz","SS","2.2","","0","","0","-1","-1","1","0",".000","0","","","","","","","0.0","-0.7","-0.7","0.0","-0.7","1673"
"Scooter Gennett","RF","41.1","","","0","0","0","0","9","7",".778","4","","","","","-0.5","","0.0","0.1","-0.5","-14.3","-0.7","10339"
"Kenny Kelly","LF","8.0","","","0","0","-1","-1","2","2","1.000","0","","","","","-0.3","","-0.4","0.0","-0.6","-68.8","-0.7","1084"
"Jolbert Cabrera","LF","124.0","","","1","0","1","2","18","17",".944","4","","","","","1.2","","-1.1","-0.1","0.0","-0.6","-0.7","373"
"Darnell McDonald","LF","124.0","","","0","0","-1","-1","22","20",".909","7","","","","0","0.0","","0.0","-0.1","-0.1","-0.5","-0.7","1867"
"Tony Renda","LF","23.1","","","0","0","-1","-1","7","7","1.000","0","","","","","0.1","","-0.7","0.0","-0.6","-32.0","-0.7","13443"
"Steve Selsky","CF","11.0","","","0","0","-1","-1","5","4",".800","0","","","","","0.0","","-0.8","0.0","-0.7","-54.4","-0.7","12957"
"Josh Hamilton","LF","27.0","","","0","0","-1","-1","6","5",".833","0","","","","","0.0","","-0.6","0.0","-0.6","-29.2","-0.7","1875"
"Arismendy Alcantara","2B","55.0","","0","","0","0","0","12","11",".917","3","","","","","","-0.1","0.7","-1.5","-0.9","-17.4","-0.8","10711"
"Xavier Paul","RF","9.0","","","0","0","-1","-1","1","0",".000","0","","","","0","0.5","","-1.3","0.0","-0.7","-162.4","-0.8","5963"
"Patrick Kivlehan","CF","20.0","","","0","0","0","0","3","3","1.000","0","","","","","-0.2","","-0.7","0.0","-0.8","-56.8","-0.8","13910"
"Yorman Rodriguez","CF","17.0","","","0","0","-1","-1","3","2",".667","2","","","","","","","-0.9","0.0","-0.8","-62.5","-0.8","9922"
"Brendan Harris","2B","12.0","","0","","0","-1","-1","4","1",".250","0","","","","","","","-0.9","0.1","-0.8","-124.5","-0.8","2178"
