"Name","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Scott Rolen","330","1298","36","147","182","5","8.4 %","15.4 %",".175",".287",".263",".332",".438",".336","106","0.3","9.8","24.0","7.7","970"
"Todd Frazier","169","586","25","72","82","4","7.3 %","22.2 %",".221",".303",".264",".323",".485",".347","116","2.9","14.1","-1.0","3.3","785"
"Miguel Cairo","263","658","13","72","74","11","5.9 %","13.1 %",".124",".274",".254",".309",".378",".304","86","1.9","-9.1","0.7","1.3","1412"
"Juan Francisco","81","181","5","17","29","1","6.1 %","28.2 %",".166",".381",".284",".331",".450",".341","110","-0.3","1.8","0.0","0.8","6978"
"Jerry Hairston","86","340","8","47","27","7","6.2 %","13.5 %",".143",".273",".254",".305",".397",".309","82","0.8","-6.6","-1.1","0.3","144"
"Adam Rosales","87","266","4","23","19","1","9.8 %","17.3 %",".104",".246",".213",".303",".317",".283","65","0.9","-10.6","-0.1","-0.2","9682"
"Danny Richar","7","9","0","1","0","0","11.1 %","11.1 %",".000",".286",".250",".333",".250",".277","61","-1.4","-1.8","-0.9","-0.2","3767"
"Edwin Encarnacion","43","165","5","10","16","1","14.5 %","23.0 %",".165",".250",".209",".333",".374",".321","90","-2.0","-4.0","-5.0","-0.4","2151"
