"Name","Pos","G","GS","Inn","PO","A","E","FE","TE","DP","DPS","DPT","DPF","Scp","SB","CS","PB","WP","FP","TZ","playerid"
"Bid McPhee","2B","2126","","","6545","6905","791","","","1186","","","","","","","","",".945","155","1008675"
"Johnny Bench","C","1742","1627","14488.1","9249","850","97","","","127","","","","","610","469","94","446",".991","97","1000826"
"Germany Smith","SS","781","","","1420","2933","378","","","342","","","","","","","","",".920","93","1012143"
"Lonny Frey","2B","889","","","2216","2803","132","","","607","","","","","","","","",".974","90","1004343"
"Hughie Critz","2B","795","","","1760","2864","135","","","543","","","","","","","","",".972","74","1002780"
"Roy McMillan","SS","1302","603","5244.0","2478","3948","193","","","868","","","","","","","","",".971","66","1008643"
"Cesar Geronimo","CF","1031","781","7481.1","2428","60","27","","","17","","","","","","","","",".989","61","1004639"
"Frank McCormick","1B","1206","","","11756","840","69","","","1059","","","","","","","","",".995","55","1008413"
"Pete Rose","LF","644","624","5635.1","1282","47","11","","","5","","","","","","","","",".992","52","1011217"
"Dave Concepcion","SS","2178","2066","18379.2","3670","6594","311","","","1290","","","","","","","","",".971","49","1002494"
"Eddie Miller","SS","697","","","1466","2289","108","","","466","","","","","","","","",".972","49","1008892"
"Reggie Sanders","RF","586","556","4930.2","1191","40","25","","","7","","","","","","","","",".980","48","1129"
"Pokey Reese","2B","341","324","2820.2","729","973","26","","","212","","","","","","","","",".985","44","1004"
"Frank Robinson","LF","697","631","5670.2","1287","51","25","","","8","","","","","","","","",".982","40","1011066"
"George Foster","LF","882","804","7252.1","1719","54","21","","","9","","","","","","","","",".988","39","1004250"
"Ed Bailey","C","652","552","4903.2","2957","286","43","","","40","","","","","126","121","28","92",".987","38","1000421"
"Ollie Beard","SS","254","","","359","956","152","","","106","","","","","","","","",".896","37","1000719"
"Hod Ford","SS","565","","","1210","1749","117","","","432","","","","","","","","",".962","37","1004221"
"Barry Larkin","SS","2084","2054","17553.0","3146","5853","235","19","6","1074","87","58","14","","","","","",".975","36","335"
"Paul O'Neill","RF","685","632","5663.2","1323","52","15","","","5","","","","","","","","",".989","36","1009818"
"Jim Keenan","C","320","","","1545","444","128","","","37","","","","","","","190","",".940","34","1006749"
"Pop Snyder","C","271","","","1351","435","183","","","19","","","","","","","218","",".907","32","1012254"
"Babe Pinelli","3B","579","","","676","1298","106","","","84","","","","","","","","",".949","31","1010355"
"Sam Bohne","2B","341","","","801","1144","68","","","173","","","","","","","","",".966","29","1001130"
"Billy Myers","SS","693","","","1364","2160","202","","","463","","","","","","","","",".946","28","1009418"
"Buck Herzog","SS","355","","","877","1190","132","","","178","","","","","","","","",".940","27","1005745"
"Eddie Milner","CF","550","446","4169.0","1400","39","20","","","7","","","","","","","","",".986","27","1008964"
"Morrie Rath","2B","264","","","655","851","38","","","119","","","","","","","","",".975","27","1010709"
"Woody Williams","2B","300","","","704","973","50","","","163","","","","","","","","",".971","27","1014045"
"Mike Cameron","CF","146","142","1260.2","372","7","8","","","3","","","","","","","","",".979","24","1070"
"Miller Huggins","2B","757","","","1749","2377","215","","","281","","","","","","","","",".951","23","1006148"
"Tommy Corcoran","SS","1163","","","2635","3898","464","","","501","","","","","","","","",".934","22","1002622"
"Wally Post","RF","328","306","2756.0","673","32","20","","","7","","","","","","","","",".972","22","1010468"
"Billy Werber","3B","397","","","424","851","67","","","86","","","","","","","","",".950","22","1013783"
"Ike Caveney","SS","457","","","978","1540","173","","","292","","","","","","","","",".936","21","1002094"
"Bo Diaz","C","453","422","3689.1","2485","243","33","","","34","","","","","321","175","34","87",".988","21","1003261"
"Heinie Peitz","C","648","","","2492","725","106","","","76","","","","","","","98","",".968","21","1010131"
"Chuck Dressen","3B","559","","","484","1146","82","","","84","","","","","","","","",".952","20","1003492"
"Bobby Tolan","CF","462","449","3999.1","1171","20","25","","","4","","","","","","","","",".979","20","1013100"
"Dann Bilardello","C","215","170","1533.2","1015","126","11","","","8","","","","","136","94","17","34",".991","18","1000963"
"Leo Durocher","SS","381","","","748","1187","79","","","249","","","","","","","","",".961","18","1003596"
"George Foster","CF","276","252","2046.1","663","18","8","","","6","","","","","","","","",".988","18","1004250"
"Dick Egan","2B","603","","","1336","1832","141","","","242","","","","","","","","",".957","16","1003698"
"Eddie Joost","SS","368","","","714","1060","111","","","218","","","","","","","","",".941","16","1006604"
"Lew Riggs","3B","537","","","528","1078","92","","","77","","","","","","","","",".946","16","1010957"
"Tommy Helms","2B","658","649","5709.2","1618","1867","63","","","466","","","","","","","","",".982","15","1005616"
"George Kelly","1B","345","","","3390","239","28","","","316","","","","","","","","",".992","15","1006799"
"Bobby Adams","3B","563","","","636","1145","85","","","115","","","","","","","","",".954","12","1000045"
"Lew Fonseca","2B","176","","","456","596","38","","","90","","","","","","","","",".965","12","1004205"
"Arlie Latham","3B","680","","","854","1528","341","","","116","","","","","","","","",".875","12","1007371"
"Steve Mesner","3B","398","","","422","846","58","","","85","","","","","","","","",".956","12","1008798"
"Jeffrey Hammonds","RF","53","37","332.2","82","3","0","","","1","","","","","","","","","1.000","11","687"
"John Ganzel","1B","251","","","2462","145","26","","","141","","","","","","","","",".990","11","1004486"
"Tommy Harper","LF","324","253","2397.0","479","12","6","","","3","","","","","","","","",".988","11","1005383"
"Larry McLean","C","580","","","2397","744","84","","","87","","","","","","","57","",".974","11","1008622"
"Chico Ruiz","2B","159","127","1172.1","304","406","25","","","89","","","","","","","","",".966","11","1011298"
"Sean Casey","1B","1030","1010","8757.1","8611","469","46","15","7","732","25","6","372","56","","","","",".995","10","314"
"Rocky Bridges","2B","153","0","23.0","377","372","18","","","107","","","","","","","","",".977","10","1001420"
"Heinie Groh","3B","883","","","1081","1782","104","","","210","","","","","","","","",".965","10","1005078"
"Denis Menke","3B","253","190","1825.0","153","447","25","","","39","","","","","","","","",".960","10","1008766"
"Farmer Vaughn","C","380","","","1293","381","106","","","46","","","","","","","92","",".940","10","1013381"
"Darren Lewis","CF","57","37","383.1","122","3","1","","","0","","","","","","","","",".992","9","286"
"Chris Stynes","LF","112","90","797.2","192","9","2","","","1","","","","","","","","",".990","9","303"
"Sam Bohne","SS","138","","","259","428","42","","","66","","","","","","","","",".942","9","1001130"
"Tommy Harper","RF","283","264","2325.2","542","12","6","","","3","","","","","","","","",".989","9","1005383"
"Eddie Kasko","3B","291","234","2179.1","256","495","36","","","45","","","","","","","","",".954","9","1006711"
"Junior Kennedy","2B","266","183","1795.0","420","622","19","","","117","","","","","","","","",".982","9","1006845"
"Ray Mueller","C","491","","","1837","278","25","","","37","","","","","","","15","",".988","9","1009283"
"Joe Oliver","C","738","667","5879.0","4445","351","49","","","48","","","","","474","236","54","209",".990","9","1009778"
"Tony Perez","1B","1092","983","8568.2","8535","514","68","","","808","","","","","","","","",".993","9","1010188"
"Wally Pipp","1B","341","","","3528","198","28","","","295","","","","","","","","",".993","9","1010365"
"Jeff Treadway","2B","118","101","918.1","232","300","11","","","63","","","","","","","","",".980","9","1013169"
"Pete Whisenant","LF","65","25","273.0","83","3","1","","","1","","","","","","","","",".989","9","1013844"
"Jason LaRue","C","680","629","5556.1","3885","359","40","5","25","18","22","7","7","","245","156","68","213",".991","8","337"
"Alex Ochoa","RF","122","109","945.2","232","7","4","","","2","","","","","","","","",".984","8","700"
"Chick Fulmer","SS","200","","","286","552","127","","","47","","","","","","","","",".868","8","1004400"
"Alex Grammas","3B","105","84","671.1","82","154","8","","","13","","","","","","","","",".967","8","1004941"
"Hobie Landrith","C","138","","","482","53","5","","","8","","","","","","","4","6",".991","8","1007300"
"Lee May","1B","671","646","5699.2","5803","411","42","","","539","","","","","","","","",".993","8","1008303"
"Hal Morris","1B","896","819","7294.0","6771","628","45","","","606","","","","","","","","",".994","8","1009209"
"Morgan Murphy","C","229","","","741","200","71","","","18","","","","","","","41","",".930","8","1009372"
"Aaron Boone","3B","625","592","5213.1","420","1237","86","18","16","115","58","1","8","","","","","",".951","7","311"
"Dmitri Young","1B","127","90","829.0","808","58","6","","","65","","","","","","","","",".993","7","505"
"Michael Tucker","RF","193","88","948.1","249","14","4","","","1","","","","","","","","",".985","7","635"
"Greg Vaughn","LF","144","144","1191.1","264","8","4","","","2","","","","","","","","",".986","7","1233"
"Bernie Carbo","LF","208","197","1671.0","343","15","7","","","2","","","","","","","","",".981","7","1001935"
"Cesar Cedeno","LF","98","91","749.1","184","7","2","","","0","","","","","","","","",".990","7","1002100"
"Claude Corbitt","SS","106","","","172","279","21","","","57","","","","","","","","",".956","7","1002613"
"Jake Daubert","1B","795","","","8089","451","74","","","569","","","","","","","","",".991","7","1003005"
"Frank Fennelly","SS","518","","","656","1768","409","","","180","","","","","","","","",".856","7","1003980"
"Heinie Groh","2B","311","","","665","949","75","","","122","","","","","","","","",".956","7","1005078"
"Wayne Krenchicki","3B","223","130","1314.1","101","309","15","","","24","","","","","","","","",".965","7","1007158"
"Mel Queen","RF","52","26","291.1","80","1","1","","","0","","","","","","","","",".988","7","1010592"
"Bip Roberts","LF","81","67","543.1","127","1","2","","","0","","","","","","","","",".985","7","1011023"
"Frank Robinson","1B","228","216","1875.2","1813","154","24","","","187","","","","","","","","",".988","7","1011066"
"Steve Boros","3B","116","113","1006.1","95","205","12","","","18","","","","","","","","",".962","6","1001207"
"Buck Ewing","1B","175","","","1630","128","42","","","110","","","","","","","","",".977","6","1003881"
"Paul Householder","RF","237","174","1708.0","381","17","3","","","3","","","","","","","","",".993","6","1006063"
"Baldy Louden","2B","108","","","238","345","19","","","48","","","","","","","","",".968","6","1007766"
"Eddie Milner","RF","41","37","278.2","66","3","1","","","0","","","","","","","","",".986","6","1008964"
"Joe Morgan","2B","1116","1098","9499.0","2691","2999","82","","","694","","","","","","","","",".986","6","1009179"
"Frank Motz","1B","61","","","612","56","10","","","37","","","","","","","","",".985","6","1009263"
"John Reilly","1B","1003","","","10260","273","281","","","619","","","","","","","","",".974","6","1010803"
"Frank Robinson","RF","533","520","4569.1","999","32","11","","","8","","","","","","","","",".989","6","1011066"
"Pete Rose","RF","556","551","4887.2","1069","43","9","","","9","","","","","","","","",".992","6","1011217"
"Lenny Harris","1B","54","36","342.1","318","31","2","","","21","","","","","","","","",".994","5","1394"
"Eduardo Perez","1B","126","100","923.1","835","87","7","","","78","","","","","","","","",".993","5","1409"
"Jeff Branson","3B","229","149","1390.0","107","333","19","","","41","","","","","","","","",".959","5","1001355"
"Tommy Clarke","C","575","","","2254","625","73","","","50","","","","","","","44","",".975","5","1002313"
"Tony Cuccinello","2B","169","","","400","528","30","","","136","","","","","","","","",".969","5","1002848"
"Walt Dropo","1B","66","46","426.1","403","38","0","","","42","","","","","","","","","1.000","5","1003510"
"Curtis Goodwin","LF","41","29","281.1","77","2","0","","","1","","","","","","","","","1.000","5","1004863"
"Charlie Irwin","3B","603","","","878","1212","162","","","93","","","","","","","","",".928","5","1006278"
"Tracy Jones","LF","82","59","557.2","145","4","1","","","0","","","","","","","","",".993","5","1006600"
"Mike Lum","RF","25","13","133.0","33","0","0","","","0","","","","","","","","","1.000","5","1007831"
"Mike O'Berry","C","76","53","479.2","292","34","5","","","4","","","","","41","28","0","16",".985","5","1009680"
"Bill Rodgers","2B","56","","","96","170","15","","","30","","","","","","","","",".947","5","1011096"
"Andy Seminick","C","298","","","1205","135","26","","","20","","","","","","","14","13",".981","5","1011742"
"Daryl Spencer","3B","48","47","410.2","45","92","3","","","9","","","","","","","","",".979","5","1012321"
"Joe Tinker","SS","101","","","223","320","18","","","34","","","","","","","","",".968","5","1013075"
"Brian Hunter","LF","9","4","40.0","15","3","0","","","0","","","","","","","","","1.000","4","562"
"Rick Auerbach","SS","57","25","297.0","72","105","8","","","17","","","","","","","","",".957","4","1000362"
"Gus Bell","RF","272","250","2244.1","502","22","2","","","2","","","","","","","","",".996","4","1000809"
"Rocky Bridges","3B","127","0","98.2","70","115","6","","","9","","","","","","","","",".969","4","1001420"
"Tommy Corcoran","2B","67","","","165","216","16","","","23","","","","","","","","",".960","4","1002622"
"Hector Cruz","RF","64","29","321.0","87","3","2","","","2","","","","","","","","",".978","4","1002839"
"Brian Dorsett","C","91","75","665.2","523","39","4","","","6","","","","","40","23","9","18",".993","4","1003416"
"Johnny Edwards","C","731","659","5918.0","4794","398","49","","","62","","","","","288","191","64","231",".991","4","1003689"
"Doug Flynn","2B","94","46","535.0","106","158","2","","","33","","","","","","","","",".993","4","1004182"
"Doug Flynn","SS","41","32","289.0","56","105","3","","","22","","","","","","","","",".982","4","1004182"
"Terry Francona","1B","57","41","375.1","373","45","2","","","38","","","","","","","","",".995","4","1004292"
"Marty Keough","1B","111","47","513.1","459","50","5","","","43","","","","","","","","",".990","4","1006857"
"Wally Kimmick","2B","20","","","42","82","3","","","7","","","","","","","","",".976","4","1006919"
"Carmelo Martinez","LF","16","16","115.2","35","1","0","","","0","","","","","","","","","1.000","4","1008157"
"Hal McRae","CF","32","25","238.2","84","1","1","","","0","","","","","","","","",".988","4","1008687"
"Sam Mejias","CF","72","22","309.2","90","2","2","","","1","","","","","","","","",".979","4","1008742"
"Luis Quinones","3B","95","75","716.0","57","166","11","","","7","","","","","","","","",".953","4","1010614"
"Duane Walker","LF","135","108","967.2","227","7","10","","","1","","","","","","","","",".959","4","1013513"
"Pat Watkins","CF","54","24","279.1","71","1","1","","","0","","","","","","","","",".986","4","1013672"
"Michael Tucker","LF","78","44","422.2","93","2","4","","","0","","","","","","","","",".960","3","635"
"Lenny Harris","RF","62","30","297.0","57","3","0","","","0","","","","","","","","","1.000","3","1394"
"Tony Tarasco","LF","4","3","28.2","9","0","0","","","0","","","","","","","","","1.000","3","1486"
"Ruben Rivera","CF","70","38","405.2","129","3","2","","","2","","","","","","","","",".985","3","1550"
"Ruben Rivera","RF","21","13","126.2","34","0","1","","","0","","","","","","","","",".971","3","1550"
"Sparky Adams","3B","170","","","152","347","20","","","25","","","","","","","","",".962","3","1000063"
"Jake Beckley","1B","877","","","8432","476","176","","","516","","","","","","","","",".981","3","1000754"
"Bill Bergen","C","234","","","1063","339","46","","","24","","","","","","","27","",".968","3","1000867"
"Don Blasingame","2B","264","249","2202.1","633","672","35","","","125","","","","","","","","",".974","3","1001056"
"Glenn Braggs","RF","90","66","581.0","137","5","8","","","2","","","","","","","","",".947","3","1001333"
"Leo Cardenas","SS","1138","1103","9933.2","2020","3150","166","","","610","","","","","","","","",".969","3","1001938"
"Gordy Coleman","1B","656","619","5279.1","4875","445","51","","","441","","","","","","","","",".991","3","1002422"
"Ed Crosby","SS","29","11","140.0","21","60","4","","","8","","","","","","","","",".953","3","1002799"
"Curtis Goodwin","RF","7","7","59.0","19","0","0","","","0","","","","","","","","","1.000","3","1004863"
"Willie Greene","RF","56","46","379.0","105","1","1","","","1","","","","","","","","",".991","3","1005015"
"Bert Haas","1B","243","","","2287","159","21","","","240","","","","","","","","",".992","3","1005168"
"Eddie Joost","2B","69","","","175","194","17","","","42","","","","","","","","",".956","3","1006604"
"Rafael Landestoy","3B","22","11","117.1","12","31","0","","","7","","","","","","","","","1.000","3","1007292"
"Lefty Marr","3B","63","","","71","125","33","","","5","","","","","","","","",".856","3","1008129"
"Lee May","LF","49","41","355.2","76","2","2","","","1","","","","","","","","",".975","3","1008303"
"Sam Mejias","RF","60","4","144.0","30","3","0","","","0","","","","","","","","","1.000","3","1008742"
"Eddie Milner","LF","68","37","404.1","99","4","1","","","0","","","","","","","","",".990","3","1008964"
"Jo-Jo Morrissey","2B","130","","","280","433","21","","","70","","","","","","","","",".971","3","1009218"
"Bert Niehoff","3B","136","","","156","281","36","","","15","","","","","","","","",".924","3","1009581"
"Damon Phillips","SS","27","","","49","84","5","","","17","","","","","","","","",".964","3","1010286"
"Nolen Richardson","SS","36","","","60","90","5","","","14","","","","","","","","",".968","3","1010917"
"Chris Sabo","3B","792","779","6747.1","433","1464","73","","","119","","","","","","","","",".963","3","1011357"
"Ted Savage","CF","12","11","94.0","33","0","0","","","0","","","","","","","","","1.000","3","1011470"
"Hank Schreiber","3B","17","","","14","48","1","","","6","","","","","","","","",".984","3","1011611"
"Jimmy Stewart","3B","24","10","104.0","10","35","4","","","8","","","","","","","","",".918","3","1012522"
"Max Venable","LF","80","41","425.2","105","3","2","","","0","","","","","","","","",".982","3","1013401"
"Benny Zientara","3B","52","","","28","100","4","","","11","","","","","","","","",".970","3","1014438"
"Adam Dunn","RF","60","49","421.2","97","5","4","2","0","1","0","0","0","","","","","",".962","2","319"
"Corky Miller","C","147","121","1084.0","822","74","5","2","2","4","4","2","6","","60","27","6","33",".995","2","342"
"Michael Tucker","CF","73","51","429.2","119","5","2","","","0","","","","","","","","",".984","2","635"
"Jeffrey Hammonds","CF","46","38","339.2","105","4","1","","","2","","","","","","","","",".991","2","687"
"Alex Ochoa","LF","77","24","296.1","65","3","1","","","0","","","","","","","","",".986","2","700"
"Ruben Sierra","RF","12","12","100.2","23","1","0","","","0","","","","","","","","","1.000","2","1099"
"Lenny Harris","3B","102","69","648.0","50","180","16","","","9","","","","","","","","",".935","2","1394"
"Brady Clark","RF","23","3","69.1","22","0","0","0","0","0","0","0","0","","","","","","1.000","2","1398"
"Ed Armbrister","CF","9","5","47.0","12","0","0","","","0","","","","","","","","","1.000","2","1000307"
"Mike Bell","3B","13","4","49.2","2","16","2","","","2","","","","","","","","",".900","2","1000817"
"Lena Blackburne","SS","125","","","319","413","48","","","69","","","","","","","","",".939","2","1001020"
"Sam Bohne","3B","102","","","101","220","17","","","24","","","","","","","","",".950","2","1001130"
"Buddy Bradford","LF","38","2","78.2","21","0","0","","","0","","","","","","","","","1.000","2","1001299"
"Glenn Braggs","LF","137","115","1024.0","212","10","7","","","2","","","","","","","","",".969","2","1001333"
"Jacob Brumfield","LF","45","7","131.0","35","1","0","","","0","","","","","","","","","1.000","2","1001583"
"Vince Coleman","LF","20","17","150.2","28","2","1","","","0","","","","","","","","",".968","2","1002433"
"Dave Collins","RF","173","159","1289.0","299","9","10","","","4","","","","","","","","",".969","2","1002449"
"Snake Deal","1B","65","","","624","46","10","","","25","","","","","","","","",".985","2","1003103"
"Chuck Dressen","2B","16","","","19","50","1","","","3","","","","","","","","",".986","2","1003492"
"Frank Duffy","SS","15","6","70.1","14","36","2","","","9","","","","","","","","",".962","2","1003532"
"Nick Esasky","LF","97","95","739.1","166","7","0","","","2","","","","","","","","","1.000","2","1003818"
"Hod Ford","2B","123","","","271","406","11","","","82","","","","","","","","",".984","2","1004221"
"Frank Genins","SS","17","","","34","66","11","","","7","","","","","","","","",".901","2","1004610"
"Dick Gernert","1B","21","14","126.0","125","17","1","","","9","","","","","","","","",".993","2","1004637"
"Buddy Gilbert","RF","6","6","47.0","15","0","0","","","0","","","","","","","","","1.000","2","1004687"
"Joe Hague","1B","26","16","164.0","188","9","0","","","15","","","","","","","","","1.000","2","1005200"
"Bubbles Hargrave","C","686","","","2258","466","45","","","46","","","","","","","45","",".984","2","1005359"
"Jerry Harrington","C","179","","","806","200","70","","","9","","","","","","","77","",".935","2","1005418"
"Mickey Heath","1B","46","","","456","34","4","","","35","","","","","","","","",".992","2","1005563"
"Ken Henderson","RF","11","6","63.2","21","0","0","","","0","","","","","","","","","1.000","2","1005634"
"Walter Holke","1B","65","","","642","35","2","","","60","","","","","","","","",".997","2","1005946"
"Thomas Howard","LF","157","84","887.0","184","6","5","","","2","","","","","","","","",".974","2","1006090"
"Brian Hunter","1B","24","19","156.1","176","13","3","","","20","","","","","","","","",".984","2","1006197"
"Brian Hunter","LF","4","2","28.2","9","1","0","","","0","","","","","","","","","1.000","2","1006197"
"Mack Jones","LF","25","16","169.1","32","1","0","","","0","","","","","","","","","1.000","2","1006574"
"Tracy Jones","RF","40","29","269.2","66","0","3","","","0","","","","","","","","",".957","2","1006600"
"Jim Keenan","1B","99","","","970","40","23","","","50","","","","","","","","",".978","2","1006749"
"Mike Kelly","RF","32","15","156.0","55","2","2","","","0","","","","","","","","",".966","2","1006809"
"Wally Kimmick","SS","31","","","38","73","4","","","11","","","","","","","","",".965","2","1006919"
"Wayne Krenchicki","2B","16","3","45.0","7","14","0","","","3","","","","","","","","","1.000","2","1007158"
"Danny Litwhiler","3B","18","","","15","40","2","","","2","","","","","","","","",".965","2","1007670"
"Mike Lum","LF","56","38","359.0","73","2","0","","","1","","","","","","","","","1.000","2","1007831"
"Scotti Madison","3B","26","21","196.1","19","44","0","","","3","","","","","","","","","1.000","2","1007955"
"George Magoon","2B","88","","","193","272","26","","","30","","","","","","","","",".947","2","1007972"
"Eddie Miksis","3B","14","2","52.0","6","17","1","","","0","","","","","","","","",".958","2","1008854"
"Kevin Mitchell","1B","4","4","37.0","35","3","1","","","4","","","","","","","","",".974","2","1009004"
"Paul O'Neill","CF","23","16","141.1","42","0","0","","","0","","","","","","","","","1.000","2","1009818"
"Jim Pendleton","LF","24","9","98.1","32","1","1","","","0","","","","","","","","",".971","2","1010156"
"Jimmy Peoples","C","19","","","76","28","8","","","1","","","","","","","15","",".929","2","1010166"
"Babe Pinelli","SS","53","","","68","122","17","","","21","","","","","","","","",".918","2","1010355"
"Pinky Pittenger","2B","28","","","43","81","5","","","17","","","","","","","","",".961","2","1010375"
"Phil Powers","C","73","","","326","102","57","","","4","","","","","","","58","",".883","2","1010503"
"Joe Quinn","2B","74","","","154","169","17","","","24","","","","","","","","",".950","2","1010607"
"Merv Rettenmund","CF","11","9","71.0","31","0","0","","","0","","","","","","","","","1.000","2","1010846"
"Merv Rettenmund","LF","21","10","113.0","29","1","0","","","1","","","","","","","","","1.000","2","1010846"
"Rolando Roomes","RF","44","42","361.2","108","2","1","","","0","","","","","","","","",".991","2","1011185"
"Deion Sanders","LF","49","46","397.2","87","4","1","","","1","","","","","","","","",".989","2","1011415"
"Art Schult","LF","6","6","42.0","13","0","0","","","0","","","","","","","","","1.000","2","1011624"
"Art Shamsky","LF","62","47","427.0","91","5","3","","","1","","","","","","","","",".970","2","1011786"
"Billy Sullivan","1B","40","","","350","31","3","","","35","","","","","","","","",".992","2","1012684"
"Joe Taylor","LF","19","16","146.1","43","1","1","","","1","","","","","","","","",".978","2","1012880"
"Bobby Tolan","RF","130","110","991.0","215","10","7","","","3","","","","","","","","",".970","2","1013100"
"Joe Wagner","2B","46","","","99","122","9","","","28","","","","","","","","",".961","2","1013486"
"Joe Wagner","SS","12","","","12","26","1","","","0","","","","","","","","",".974","2","1013486"
"Lee Walls","LF","12","12","99.0","24","2","1","","","1","","","","","","","","",".963","2","1013563"
"Jerome Walton","LF","52","5","126.0","29","0","0","","","0","","","","","","","","","1.000","2","1013593"
"Pee-Wee Wanninger","SS","28","","","61","100","8","","","21","","","","","","","","",".953","2","1013599"
"Pete Whisenant","CF","11","4","40.2","18","0","0","","","0","","","","","","","","","1.000","2","1013844"
"Pete Whisenant","RF","71","50","442.2","108","2","1","","","1","","","","","","","","",".991","2","1013844"
"Woody Woodward","SS","296","247","2133.2","406","762","32","","","142","","","","","","","","",".973","2","1014250"
"Chris Stynes","2B","77","40","440.0","91","126","6","","","26","","","","","","","","",".973","1","303"
"Chris Stynes","3B","110","90","810.0","65","165","9","","","18","","","","","","","","",".962","1","303"
"Juan Castro","1B","7","4","39.0","37","6","0","0","0","1","0","0","2","0","","","","","1.000","1","315"
"Ken Griffey Jr.","CF","627","624","5355.0","1439","34","21","7","6","3","3","0","0","","","","","",".986","1","327"
"Brandon Larson","3B","73","68","576.0","54","129","11","4","5","14","13","2","1","","","","","",".943","1","336"
"Damian Jackson","CF","3","2","19.0","6","0","0","","","0","","","","","","","","","1.000","1","471"
"Brian Hunter","CF","16","5","60.0","15","1","1","","","0","","","","","","","","",".941","1","562"
"Donnie Sadler","SS","12","8","82.1","10","31","0","","","4","","","","","","","","","1.000","1","627"
"Jeffrey Hammonds","LF","46","3","115.2","34","1","0","","","0","","","","","","","","","1.000","1","687"
"Wilton Guerrero","LF","6","2","24.0","6","0","0","","","0","","","","","","","","","1.000","1","1378"
"Lenny Harris","2B","69","49","453.2","125","139","6","","","31","","","","","","","","",".978","1","1394"
"Lenny Harris","LF","66","36","338.2","75","4","4","","","0","","","","","","","","",".952","1","1394"
"Eduardo Perez","3B","12","10","80.2","9","20","0","","","1","","","","","","","","","1.000","1","1409"
"Roberto Petagine","1B","15","2","43.1","46","4","0","","","4","","","","","","","","","1.000","1","8607"
"Sparky Adams","SS","8","","","6","17","0","","","1","","","","","","","","","1.000","1","1000063"
"Harry Anderson","1B","15","12","97.0","93","7","1","","","6","","","","","","","","",".990","1","1000230"
"Eric Anthony","1B","17","12","109.1","102","10","4","","","11","","","","","","","","",".966","1","1000273"
"Ollie Beard","3B","9","","","10","26","6","","","2","","","","","","","","",".857","1","1000719"
"Jim Beauchamp","CF","15","13","107.0","33","0","0","","","0","","","","","","","","","1.000","1","1000732"
"Erve Beck","1B","6","","","64","5","0","","","5","","","","","","","","","1.000","1","1000748"
"Erve Beck","2B","32","","","70","92","11","","","11","","","","","","","","",".936","1","1000748"
"Freddie Benavides","2B","40","25","217.0","54","65","0","","","9","","","","","","","","","1.000","1","1000825"
"Marty Berghammer","2B","26","","","26","54","5","","","9","","","","","","","","",".941","1","1000877"
"Jimmy Bloodworth","1B","23","","","208","18","1","","","19","","","","","","","","",".996","1","1001084"
"Buddy Bradford","RF","4","3","30.0","4","1","0","","","0","","","","","","","","","1.000","1","1001299"
"Angel Bravo","RF","5","0","10.0","1","1","0","","","0","","","","","","","","","1.000","1","1001367"
"Jacob Brumfield","RF","12","4","48.1","14","0","0","","","0","","","","","","","","","1.000","1","1001583"
"Jim Canavan","SS","3","","","2","13","0","","","0","","","","","","","","","1.000","1","1001906"
"Bernie Carbo","RF","5","4","28.2","10","0","0","","","0","","","","","","","","","1.000","1","1001935"
"Charlie Carr","1B","22","","","221","16","4","","","16","","","","","","","","",".983","1","1001985"
"Cesar Cedeno","RF","95","81","709.0","163","7","2","","","1","","","","","","","","",".988","1","1002100"
"Elio Chacon","LF","3","0","5.0","2","0","0","","","0","","","","","","","","","1.000","1","1002109"
"Steve Christmas","C","7","4","36.0","28","3","0","","","0","","","","","3","3","1","0","1.000","1","1002223"
"Ty Cline","1B","4","0","7.0","7","0","0","","","0","","","","","","","","","1.000","1","1002355"
"Ty Cline","CF","28","15","148.2","44","0","0","","","0","","","","","","","","","1.000","1","1002355"
"Billy Clingman","SS","6","","","8","25","4","","","4","","","","","","","","",".892","1","1002356"
"Chuck Coles","LF","3","3","21.0","10","1","0","","","0","","","","","","","","","1.000","1","1002435"
"Darnell Coles","RF","2","1","6.2","3","0","0","","","0","","","","","","","","","1.000","1","1002436"
"Dave Collins","LF","116","77","730.1","188","3","3","","","0","","","","","","","","",".985","1","1002449"
"Dave Concepcion","3B","120","63","647.1","60","138","7","","","8","","","","","","","","",".966","1","1002494"
"Dave Concepcion","CF","8","5","45.0","17","0","0","","","0","","","","","","","","","1.000","1","1002494"
"Pop Corkhill","1B","19","","","155","11","3","","","7","","","","","","","","",".982","1","1002629"
"Pop Corkhill","2B","3","","","7","12","1","","","0","","","","","","","","",".950","1","1002629"
"Pat Crawford","1B","13","","","117","11","0","","","9","","","","","","","","","1.000","1","1002746"
"Terry Crowley","1B","11","6","54.0","62","7","2","","","4","","","","","","","","",".972","1","1002829"
"Manuel Cueto","2B","16","","","14","37","5","","","2","","","","","","","","",".911","1","1002855"
"Dan Driessen","RF","8","5","36.0","12","0","0","","","0","","","","","","","","","1.000","1","1003501"
"Mariano Duncan","LF","10","8","64.0","14","0","0","","","0","","","","","","","","","1.000","1","1003554"
"Frank Emmer","SS","108","","","196","329","50","","","47","","","","","","","","",".913","1","1003770"
"Hank Erickson","C","25","","","84","19","3","","","7","","","","","","","2","",".972","1","1003807"
"Cecil Espy","LF","18","11","109.0","24","2","2","","","0","","","","","","","","",".929","1","1003832"
