"Name","Pos","G","GS","Inn","PO","A","E","FE","TE","DP","DPS","DPT","DPF","Scp","SB","CS","PB","WP","FP","TZ","playerid"
"Eddie Pellagrini","2B","22","","","57","62","2","","","14","","","","","","","","",".984","0","1010133"
"Eddie Pellagrini","3B","1","","","1","1","0","","","0","","","","","","","","","1.000","0","1010133"
"Eddie Pellagrini","SS","1","","","3","2","0","","","1","","","","","","","","","1.000","0","1010133"
"Jim Pendleton","SS","3","0","5.0","1","1","0","","","1","","","","","","","","","1.000","0","1010156"
"Jimmy Peoples","1B","1","","","9","0","0","","","1","","","","","","","","","1.000","0","1010166"
"Jimmy Peoples","3B","1","","","0","0","0","","","0","","","","","","","","",".000","0","1010166"
"Tony Perez","2B","1","1","6.0","2","8","0","","","1","","","","","","","","","1.000","0","1010188"
"Art Phelan","2B","8","","","10","12","0","","","1","","","","","","","","","1.000","0","1010272"
"Art Phelan","SS","1","","","0","0","0","","","0","","","","","","","","",".000","0","1010272"
"Val Picinich","C","240","","","737","148","21","","","20","","","","","","","19","",".977","0","1010309"
"Babe Pinelli","2B","8","","","15","23","1","","","2","","","","","","","","",".974","0","1010355"
"Vada Pinson","RF","64","61","515.1","98","8","1","","","2","","","","","","","","",".991","0","1010360"
"Pinky Pittenger","3B","14","","","11","20","2","","","1","","","","","","","","",".939","0","1010375"
"Doc Prothro","3B","2","","","0","2","0","","","0","","","","","","","","","1.000","0","1010547"
"Mel Queen","LF","2","0","1.2","0","0","0","","","0","","","","","","","","",".000","0","1010592"
"Luis Quinones","1B","1","0","1.0","2","0","0","","","0","","","","","","","","","1.000","0","1010614"
"Charley Radbourn","3B","1","","","0","4","1","","","0","","","","","","","","",".800","0","1010631"
"Morrie Rath","3B","1","","","2","1","0","","","0","","","","","","","","","1.000","0","1010709"
"Johnny Rawlings","3B","10","","","6","17","3","","","1","","","","","","","","",".885","0","1010720"
"Johnny Rawlings","SS","5","","","8","8","2","","","0","","","","","","","","",".889","0","1010720"
"Gary Redus","RF","1","0","1.0","0","0","0","","","0","","","","","","","","",".000","0","1010758"
"John Reilly","SS","1","","","0","0","0","","","0","","","","","","","","",".000","0","1010803"
"Merv Rettenmund","3B","1","0","2.0","0","1","0","","","0","","","","","","","","","1.000","0","1010846"
"Harry Rice","3B","1","","","0","0","0","","","0","","","","","","","","",".000","0","1010895"
"Len Rice","C","5","","","4","0","0","","","0","","","","","","","0","","1.000","0","1010898"
"Lew Riggs","2B","4","","","0","3","0","","","0","","","","","","","","","1.000","0","1010957"
"Lew Riggs","SS","1","","","0","0","0","","","0","","","","","","","","",".000","0","1010957"
"Tony Robello","3B","2","","","0","4","2","","","0","","","","","","","","",".667","0","1011020"
"Bip Roberts","SS","1","0","1.0","0","0","0","","","0","","","","","","","","",".000","0","1011023"
"Floyd Robinson","LF","5","1","19.1","2","0","0","","","0","","","","","","","","","1.000","0","1011064"
"Rabbit Robinson","3B","2","","","1","2","0","","","0","","","","","","","","","1.000","0","1011075"
"Bill Rodgers","3B","1","","","2","1","0","","","0","","","","","","","","","1.000","0","1011096"
"Ron Roenicke","CF","5","2","27.1","7","0","0","","","0","","","","","","","","","1.000","0","1011121"
"Cookie Rojas","3B","1","0","1.0","0","0","0","","","0","","","","","","","","",".000","0","1011152"
"Rolando Roomes","CF","29","16","159.1","50","0","1","","","0","","","","","","","","",".980","0","1011185"
"Pete Rose","1B","1","0","5.0","6","0","0","","","0","","","","","","","","","1.000","0","1011218"
"Edd Roush","1B","12","","","129","7","2","","","7","","","","","","","","",".986","0","1011247"
"Edd Roush","2B","1","","","0","0","0","","","0","","","","","","","","",".000","0","1011247"
"Dutch Ruether","1B","1","","","5","0","0","","","0","","","","","","","","","1.000","0","1011291"
"Chico Ruiz","LF","12","0","23.0","4","0","0","","","0","","","","","","","","","1.000","0","1011298"
"Chico Ruiz","RF","3","0","4.0","0","0","0","","","0","","","","","","","","",".000","0","1011298"
"Tom Runnells","3B","3","0","7.2","2","0","0","","","0","","","","","","","","","1.000","0","1011304"
"Tom Runnells","SS","11","6","59.1","8","20","0","","","4","","","","","","","","","1.000","0","1011304"
"Connie Ryan","1B","2","","","10","2","0","","","2","","","","","","","","","1.000","0","1011335"
"Connie Ryan","3B","3","","","5","7","1","","","0","","","","","","","","",".923","0","1011335"
"Chris Sabo","SS","2","0","2.0","0","0","0","","","0","","","","","","","","",".000","0","1011357"
"Juan Samuel","1B","6","0","11.0","11","3","0","","","0","","","","","","","","","1.000","0","1011400"
"Juan Samuel","3B","4","0","12.2","2","4","0","","","0","","","","","","","","","1.000","0","1011400"
"Juan Samuel","RF","1","1","6.0","1","1","1","","","0","","","","","","","","",".667","0","1011400"
"Gus Sandberg","C","29","","","67","14","0","","","1","","","","","","","3","","1.000","0","1011403"
"Deion Sanders","RF","1","0","0.1","0","0","0","","","0","","","","","","","","",".000","0","1011415"
"Hank Sauer","1B","20","","","158","17","3","","","16","","","","","","","","",".983","0","1011459"
"Ted Savage","2B","1","0","1.0","0","0","0","","","0","","","","","","","","",".000","0","1011470"
"Jimmie Schaffer","C","2","0","7.0","4","0","0","","","0","","","","","2","0","0","0","1.000","0","1011511"
"Richie Scheinblum","LF","1","1","9.0","3","0","0","","","0","","","","","","","","","1.000","0","1011541"
"Richie Scheinblum","RF","18","14","100.0","18","2","1","","","1","","","","","","","","",".952","0","1011541"
"Bob Schmidt","C","27","22","198.0","137","6","1","","","1","","","","","15","4","1","3",".993","0","1011576"
"Hank Schreiber","SS","2","","","0","2","0","","","0","","","","","","","","","1.000","0","1011611"
"Joe Schultz","2B","1","","","0","0","0","","","0","","","","","","","","",".000","0","1011639"
"Hank Severeid","1B","7","","","39","2","1","","","1","","","","","","","","",".976","0","1011761"
"Chris Sexton","2B","12","11","95.0","17","26","0","","","6","","","","","","","","","1.000","0","1011771"
