"Name","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Tom Hume","52","66","88","457","48","921.0","4.46","3.02","0.71",".284","71.4 %","","","3.83","3.80","","4.2","1006179"
"Hal Jeffcoat","26","24","12","141","47","474.2","3.13","2.60","0.99",".282","72.5 %","","","4.10","4.12","","4.2","1006377"
"Willie Ramsdell","16","29","0","58","53","353.1","4.36","3.69","0.89",".274","71.6 %","","","3.90","4.16","","4.2","1010683"
"Billy Campbell","22","24","4","68","42","390.2","2.63","1.98","0.07",".278","65.8 %","","","2.60","2.33","","4.2","1001873"
"Danny Graves","39","43","182","465","30","733.0","4.76","2.93","1.03",".284","73.3 %","48.1 %","14.5 %","3.94","4.57","4.43","4.1","326"
"Ed Scott","17","20","1","42","35","315.0","2.49","1.86","0.29",".310","59.0 %","","","3.86","3.31","","4.1","1011678"
"Larry McKeon","28","21","0","52","52","446.0","3.29","2.10","0.22",".285","55.5 %","","","3.63","3.25","","4.1","1008596"
"Bill Dammann","24","15","3","60","38","367.2","1.81","2.82","0.12",".327","63.0 %","","","4.06","3.64","","4.1","1002962"
"Ross Grimsley","37","25","2","94","90","601.1","3.53","2.41","0.85",".263","76.8 %","","","3.26","3.74","","4.1","1005071"
"Jay Tibbs","16","18","0","49","48","318.2","3.90","3.28","0.51",".269","69.6 %","","","3.59","3.67","","4.1","1013055"
"Joe Beggs","42","30","27","191","32","569.0","2.33","2.39","0.41",".253","74.2 %","","","2.56","3.38","","4.0","1000776"
"Rick Mahler","16","19","4","75","47","355.1","4.31","2.28","0.79",".288","68.6 %","","","4.00","3.83","","4.0","1007988"
"Tony Freitas","11","24","3","65","36","303.1","2.64","1.93","0.36",".311","62.5 %","","","4.21","3.71","","3.9","1004334"
"Jackie Collum","23","22","4","98","31","337.2","3.41","2.88","0.88",".270","71.2 %","","","3.70","4.04","","3.9","1002469"
"Tom Walker","24","15","0","47","43","361.2","2.29","2.41","0.12",".281","71.5 %","","","2.64","2.93","","3.8","1013535"
"Mike LaCoss","32","35","1","105","89","549.0","3.03","3.66","0.56",".297","67.8 %","","","4.39","4.07","","3.8","1007240"
"Chris Reitsma","22","32","12","125","53","404.1","5.19","2.52","1.20",".292","67.6 %","49.4 %","14.2 %","4.52","4.51","4.07","3.7","348"
"Clay Kirby","22","15","0","62","54","341.1","5.48","3.82","0.74",".270","72.3 %","","","3.74","3.76","","3.7","1006960"
"Orval Overall","22","28","0","55","49","400.1","4.63","4.34","0.11",".282","66.6 %","","","3.15","3.07","","3.7","1009910"
"Scott Sullivan","37","24","9","494","0","662.2","7.66","3.41","1.07",".273","74.1 %","31.5 %","11.4 %","3.91","4.31","4.51","3.7","357"
"Ray Starr","29","25","1","80","70","528.0","2.32","3.46","0.34",".239","74.6 %","","","3.07","3.61","","3.6","1012435"
"Bill Gullickson","25","23","0","64","64","409.2","4.61","2.17","1.25",".268","72.2 %","","","3.98","4.35","","3.6","1005136"
"Harry Gumbert","40","37","35","196","29","511.2","2.88","3.01","0.49",".278","71.8 %","","","3.61","3.61","","3.5","1005141"
"Jimmy Ring","39","37","6","119","76","680.0","2.55","2.99","0.16",".266","68.1 %","","","3.16","3.22","","3.4","1010972"
"Jack Armstrong","25","32","0","79","72","413.2","5.90","3.74","1.02",".281","68.8 %","","","4.61","4.29","","3.4","1000313"
"Tom Acker","19","13","8","153","23","380.1","6.06","3.55","1.02",".277","74.4 %","","","4.12","3.90","","3.4","1000031"
"Paul Wilson","20","21","0","66","66","396.2","5.45","2.95","1.36",".299","71.5 %","42.2 %","12.6 %","4.88","4.92","4.67","3.4","1234"
"Bud Podbielan","18","34","2","109","60","462.0","3.45","3.23","1.11",".280","69.9 %","","","4.46","4.47","","3.3","1010404"
"Brandon Claussen","15","27","0","57","57","309.2","6.48","3.49","1.37",".307","69.3 %","35.6 %","10.8 %","5.12","4.90","4.89","3.3","814"
"Slim Sallee","26","13","2","50","40","343.2","0.97","0.94","0.21",".265","71.2 %","","","2.49","3.00","","3.2","1011385"
"Bobby Keefe","13","16","5","56","32","303.0","3.98","3.24","0.21",".270","65.8 %","","","3.27","3.28","","3.2","1006739"
"Matt Belisle","16","22","1","132","43","341.2","6.06","2.53","1.24",".326","68.7 %","45.8 %","12.8 %","5.06","4.59","4.21","3.1","1837"
"Johnny Couch","18","16","1","62","42","333.1","1.59","1.92","0.41",".298","62.3 %","","","4.32","3.91","","3.1","1002666"
"Bill Mountjoy","29","20","0","51","51","450.2","2.98","1.94","0.20",".273","57.8 %","","","3.00","3.41","","3.0","1009266"
"Ed Poole","19","17","0","41","37","322.0","3.58","3.66","0.17",".285","68.4 %","","","2.80","3.38","","3.0","1010433"
"John Tsitouris","29","33","3","108","71","540.1","6.11","3.33","1.08",".270","73.1 %","","","3.83","4.01","","3.0","1013208"
"Doc Newton","13","28","0","55","45","403.0","3.42","3.55","0.22",".307","59.6 %","","","4.13","3.61","","3.0","1009550"
"Mike Remlinger","16","24","2","125","44","316.2","8.78","4.80","1.08",".295","71.1 %","","","4.63","4.48","","3.0","111"
"George Pechiney","22","25","0","51","51","428.1","3.34","3.42","0.11",".298","57.2 %","","","3.66","3.60","","3.0","1010113"
"Jack Sutthoff","22","21","0","52","41","385.0","2.69","3.76","0.12",".274","63.3 %","","","3.18","3.53","","2.9","1012744"
"Charlie Chech","15","18","3","50","30","333.2","2.59","2.72","0.13",".295","65.1 %","","","2.78","3.02","","2.9","1002171"
"George Culver","16","23","6","74","48","327.2","4.72","3.74","0.44",".299","73.6 %","","","3.54","3.46","","2.8","1002870"
"David Weathers","22","27","61","341","9","398.2","6.39","3.70","0.88",".282","73.9 %","43.4 %","9.6 %","3.97","4.32","4.57","2.7","902"
"Bob Spade","24","21","1","55","47","391.2","2.60","3.26","0.07",".274","69.0 %","","","2.83","2.75","","2.7","1012298"
